"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"38","Joe Mixon","RB","Oklahoma",2017,"CIN",2,48,"MixoJo00",44,25,9.09090909090909,72.75,226,12,NA,NA,NA,NA,NA,NA,NA,NA
"39","Miles Sanders","RB","Penn State",2019,"PHI",2,53,"SandMi01",16,9,9,70.625,211,NA,4.49,20,36,124,4.19,6.89,NA,NA
"40","Nick Chubb","RB","Georgia",2018,"CLE",2,35,"ChubNi00",32,18,9,70.875,227,NA,4.52,29,38.5,128,4.25,7.09,1,1
"41","Ryan Mathews","RB","Frenso State (CA)",2010,"SD",1,12,"MathRy00",86,48,8.93023255813953,71.625,218,16,4.37,19,36,121,4.33,7,1,NA
"42","Knowshon Moreno","RB","Georgia",2009,"DEN",1,12,"MoreKn00",63,35,8.88888888888889,70.625,217,NA,4.5,25,35.5,115,4.27,6.84,NA,NA
"43","Laurence Maroney","RB",NA,2006,"NE",1,21,"MaroLa00",49,27,8.81632653061224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Rudi Johnson","RB","Auburn",2001,"CIN",4,100,"JohnRu00",95,52,8.75789473684211,69.6,227,NA,4.57,24,37.5,119,4.22,7.32,1,NA
"45","Onterrio Smith","RB","Oregon",2003,"MIN",4,105,"SmitOn00",26,14,8.61538461538461,69.9,220,NA,4.48,19,NA,NA,NA,NA,NA,NA
"46","Reggie Bush","RB","Southern California",2006,"NO",1,2,"BushRe00",134,72,8.59701492537313,70.875,201,NA,NA,NA,NA,NA,NA,NA,NA,1
"47","Aaron Jones","RB","Texas-El Paso",2017,"GB",5,182,"JoneAa00",40,21,8.4,69.125,208,NA,4.56,16,37.5,127,4.2,6.82,NA,NA
"48","DeAngelo Williams","RB","Memphis",2006,"CAR",1,27,"WillDe02",142,73,8.22535211267606,69,214,NA,4.49,25,35.5,121,NA,NA,1,1
"49","Doug Martin","RB","Boise State",2012,"TB",1,31,"MartDo00",84,43,8.19047619047619,69.25,223,NA,4.46,28,36,120,4.16,6.79,2,1
"50","Travis Henry","RB","Tennessee",2001,"BUF",2,58,"HenrTr00",90,46,8.17777777777778,69.1,223,NA,4.61,23,35.5,NA,NA,NA,1,NA
"51","Devin Singletary","RB","Florida Atlantic",2019,"BUF",3,74,"SingDe00",12,6,8,67.625,203,NA,4.66,15,35,117,4.4,7.32,NA,NA
"52","Marlon Mack","RB","South Florida",2017,"IND",4,143,"MackMa00",40,19,7.6,70.75,213,NA,4.5,15,35.5,125,4.22,NA,NA,NA
"53","Tevin Coleman","RB","Indiana",2015,"ATL",3,73,"ColeTe01",70,33,7.54285714285714,71.375,206,NA,4.59,22,NA,NA,NA,NA,NA,NA
"54","Derrick Henry","RB","Alabama",2016,"TEN",2,45,"HenrDe00",62,29,7.48387096774194,74.625,247,NA,4.54,22,37,130,4.38,7.2,1,NA
"55","Willis McGahee","RB",NA,2003,"BUF",1,23,"McGaWi00",142,66,7.43661971830986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Kevan Barlow","RB","Pittsburgh",2001,"SF",3,80,"BarlKe00",84,39,7.42857142857143,73.1,235,NA,4.56,NA,32,NA,NA,NA,NA,NA
"57","Michael Turner","RB","Northern Illinois",2004,"SD",5,154,"TurnMi00",134,62,7.40298507462687,70.5,237,NA,4.49,22,31,114,4.15,7.5,2,2
"58","Julius Jones","RB","Notre Dame",2004,"DAL",2,43,"JoneJu01",94,43,7.31914893617021,69.8,217,NA,4.46,NA,37.5,121,4.12,6.97,NA,NA
"59","Ahmad Bradshaw","RB","Marshall (WV)",2007,"NYG",7,250,"BradAh00",103,47,7.30097087378641,69.5,198,NA,4.61,NA,34,112,4.09,6.7,NA,NA
"60","Jordan Howard","RB","Indiana",2016,"CHI",5,150,"HowaJo00",57,26,7.29824561403509,71.875,230,NA,NA,16,34,122,NA,NA,1,NA
"61","Marion Barber","RB","Minnesota",2005,"DAL",4,109,"BarbMa01",99,45,7.27272727272727,71.375,221,NA,4.53,20,40,122,NA,NA,NA,NA
"62","Kevin Jones","RB","Virginia Tech",2004,"DET",1,30,"JoneKe02",64,29,7.25,72.1,227,NA,4.38,NA,38,120,NA,NA,NA,NA
"63","Lamar Miller","RB","Miami (FL)",2012,"MIA",4,97,"MillLa01",105,47,7.16190476190476,70.75,212,NA,4.34,NA,33,NA,NA,NA,1,NA
