"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"113","Bruce Gradkowski","QB","Toledo",2006,"TB",6,194,"GradBr00",37,8,3.45945945945946,73.375,217,NA,4.63,NA,34,107,4.16,7.12,NA,NA
"114","Landry Jones","QB","Oklahoma",2013,"PIT",4,115,"JoneLa02",19,4,3.36842105263158,76.125,225,28,5.11,NA,31,115,4.3,7.12,NA,NA
"115","John Skelton","QB","Fordham (NY)",2010,"ARI",5,155,"SkelJo00",20,4,3.2,77.375,243,24,4.85,NA,33.5,108,4.33,7.17,NA,NA
"116","JaMarcus Russell","QB","Louisiana State",2007,"OAK",1,1,"RussJa00",31,6,3.09677419354839,77.5,265,24,4.83,NA,NA,NA,NA,NA,NA,NA
"117","Ryan Mallett","QB","Arkansas",2011,"NE",3,74,"MallRy00",21,4,3.04761904761905,78.75,253,26,5.24,NA,24,103,NA,NA,NA,NA
"118","Josh Johnson","QB","San Diego",2008,"TB",5,160,"JohnJo05",33,6,2.90909090909091,74.75,213,24,4.53,16,33.5,110,4.42,7.56,NA,NA
"119","Kellen Clemens","QB","Oregon",2006,"NYJ",2,49,"ClemKe00",64,10,2.5,73.625,224,35,4.89,NA,NA,NA,NA,NA,NA,NA
"120","Matt Flynn","QB","Louisiana State",2008,"GB",7,209,"FlynMa00",53,8,2.41509433962264,74.25,231,38,4.81,NA,28,109,4.34,7.21,NA,NA
"121","Josh Rosen","QB","UCLA",2018,"ARI",1,10,"RoseJo01",20,3,2.4,76,226,NA,4.92,NA,31,111,4.28,7.09,NA,NA
"122","Curtis Painter","QB","Purdue",2009,"IND",6,201,"PainCu00",14,2,2.28571428571429,74.875,225,NA,4.87,NA,29,102,4.48,7,NA,NA
"123","Jimmy Clausen","QB","Notre Dame",2010,"CAR",2,48,"ClauJi00",22,3,2.18181818181818,74.625,222,23,4.76,NA,NA,NA,NA,NA,NA,NA
"124","Luke McCown","QB","Louisiana Tech",2004,"CLE",4,106,"McCoLu00",62,8,2.06451612903226,75.9,208,24,4.71,NA,37.5,125,4.21,6.74,NA,NA
"125","Brodie Croyle","QB","Alabama",2006,"KC",3,85,"CroyBr00",18,2,1.77777777777778,74.5,205,24,4.94,NA,30.5,104,4.25,7.34,NA,NA
"126","Brady Quinn","QB","Notre Dame",2007,"CLE",1,22,"QuinBr00",24,2,1.33333333333333,75.75,232,29,4.73,24,NA,NA,NA,NA,NA,NA
"127","Marques Tuiasosopo","QB","Washington",2001,"OAK",2,59,"TuiaMa00",13,1,1.23076923076923,73.1,223,24,4.71,NA,35.5,115,4.35,7.36,NA,NA
"128","Sean Mannion","QB","Oregon State",2015,"STL",3,89,"MannSe00",13,1,1.23076923076923,77.625,229,40,5.14,NA,31,105,4.39,7.29,NA,NA
"129","Zach Mettenberger","QB","Louisiana State",2014,"TEN",6,178,"MettZa00",14,1,1.14285714285714,76.875,224,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Andrew Walter","QB","Arizona State",2005,"OAK",3,69,"WaltAn00",15,1,1.06666666666667,78.125,233,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Ken Dorsey","QB",NA,2003,"SF",7,241,"DorsKe00",17,1,0.941176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Drew Henson","QB",NA,2003,"HOU",6,192,"HensDr00",9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Ryan Lindley","QB","San Diego State",2012,"ARI",6,185,"LindRy00",10,-4,-6.4,75.75,229,35,4.86,NA,29.5,108,4.45,7.52,NA,NA
