"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"37",246,"Derrick Johnson","LB","Texas",2005,"KC",1,15,"JohnDe25",188,107,9.106382979,75.25,242,NA,4.54,NA,37.5,120,3.87,7.2,NA,1
"38",254,"Benardrick McKinney","LB","Mississippi State",2015,"HOU",2,43,"McKiBe00",76,43,9.052631579,76.125,246,14,4.66,16,40.5,121,4.27,7.21,1,NA
"39",257,"Devin Bush","LB",NA,2019,"PIT",1,10,"BushDe01",16,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",258,"K.J. Wright","LB","Mississippi State",2011,"SEA",4,99,"WrigK.00",128,72,9,75.375,246,NA,4.75,20,32,120,4.46,7.26,1,NA
"41",262,"D'Qwell Jackson","LB","Maryland",2006,"CLE",2,34,"JackDQ20",141,79,8.964539007,72.5,230,NA,4.77,19,37,116,4.36,7.05,1,NA
"42",263,"Shawne Merriman","LB",NA,2005,"SD",1,12,"MerrSh99",75,42,8.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",264,"Dan Morgan","LB",NA,2001,"CAR",1,11,"MorgDa99",59,33,8.949152542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",275,"Sean Lee","LB","Penn State",2010,"DAL",2,55,"LeexSe99",109,60,8.80733945,74.125,236,NA,4.71,24,37.5,120,NA,NA,NA,NA
"45",285,"Deion Jones","LB","Louisiana State",2016,"ATL",2,52,"JoneDe01",53,29,8.754716981,72.875,222,NA,4.59,NA,33,120,NA,NA,NA,NA
"46",287,"Matt Milano","LB","Boston College",2017,"BUF",5,163,"MilaMa00",44,24,8.727272727,72.25,223,NA,4.67,24,35,126,4.38,NA,NA,NA
"47",291,"Jonathan Vilma","LB",NA,2004,"NYJ",1,12,"VilmJo99",125,68,8.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",298,"James Laurinaitis","LB","Ohio State",2009,"STL",2,35,"LaurJa99",117,63,8.615384615,73.875,244,NA,4.76,22,33,115,4.24,6.93,NA,NA
"49",304,"Kwon Alexander","LB","Louisiana State",2015,"TB",4,124,"AlexKw00",54,29,8.592592593,72.75,227,NA,4.55,24,36,121,4.2,7.14,NA,NA
"50",305,"Leonard Floyd","LB","Georgia",2016,"CHI",1,9,"FloyLe00",54,29,8.592592593,77.625,244,NA,4.6,NA,39.5,127,NA,NA,NA,NA
"51",311,"Karlos Dansby","LB",NA,2004,"ARI",2,33,"DansKa20",212,113,8.528301887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",315,"Brian Orakpo","LB",NA,2009,"WAS",1,13,"OrakBr99",132,70,8.484848485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
