"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"38","DeAngelo Hall","DB","Virginia Tech",2004,"ATL",1,8,"HallDe99",171,80,7.48538011695906,70,202,NA,4.36,NA,NA,NA,NA,NA,1,NA
"39","Nnamdi Asomugha","DB","California",2003,"OAK",1,31,"AsomNn20",157,73,7.43949044585987,74.4,213,NA,4.5,16,37.5,124,NA,NA,3,4
"40","Tanard Jackson","DB","Syracuse",2007,"TB",4,106,"JackTa99",56,26,7.42857142857143,72,200,NA,4.53,12,32.5,121,4.28,6.89,NA,NA
"41","Jason Verrett","DB","Texas Christian",2014,"SD",1,25,"VerrJa00",26,12,7.38461538461539,69.5,189,NA,4.38,NA,39,127,4,6.69,1,NA
"42","Antonio Cromartie","DB","Florida State",2006,"SD",1,19,"CromAn20",162,74,7.30864197530864,74.13,208,NA,4.5,18,38,132,NA,NA,3,2
"43","Budda Baker","DB","Washington",2017,"ARI",2,36,"BakeBu00",46,21,7.30434782608696,69.625,195,14,4.45,15,32.5,115,4.08,6.76,NA,NA
"44","Nate Clements","DB",NA,2001,"BUF",1,21,"ClemNa99",180,82,7.28888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Chris Harris","DB",NA,2005,"CHI",6,181,"HarrCh20",101,46,7.28712871287129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Malcolm Jenkins","DB","Ohio State",2009,"NO",1,14,"JenkMa99",167,76,7.2814371257485,72.125,204,NA,4.51,15,33,124,4.08,6.59,NA,NA
"47","Tyrann Mathieu","DB","Louisiana State",2013,"ARI",3,69,"MathTy00",98,44,7.18367346938776,68.75,186,NA,4.5,4,34,117,4.14,6.87,NA,1
"48","Justin Simmons","DB","Boston College",2016,"DEN",3,98,"SimmJu00",58,26,7.17241379310345,74.375,202,NA,4.61,16,40,126,3.85,6.58,NA,NA
"49","Terence Newman","DB","Kansas State",2003,"DAL",1,5,"NewmTe20",221,99,7.16742081447964,70.4,189,NA,4.41,10,41,136,3.82,6.88,1,NA
"50","Adrian Wilson","DB","North Carolina State",2001,"ARI",3,64,"WilsAd99",181,81,7.16022099447514,74.4,213,NA,4.55,21,39.5,120,NA,NA,5,1
"51","Reggie Nelson","DB","Florida",2007,"JAX",1,21,"NelsRe99",181,81,7.16022099447514,71.375,198,NA,4.51,NA,34.5,NA,NA,NA,2,NA
"52","Chris Gamble","DB",NA,2004,"CAR",1,28,"GambCh20",123,55,7.15447154471545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Darius Slay","DB","Mississippi State",2013,"DET",2,36,"SlayDa00",103,46,7.14563106796117,71.875,192,10,4.36,14,35.5,124,4.21,6.9,2,NA
"54","Johnathan Joseph","DB","South Carolina",2006,"CIN",1,24,"JoseJo20",200,89,7.12,71,193,NA,4.37,15,37,123,4.23,6.92,2,2
"55","Cortland Finnegan","DB","Samford (AL)",2006,"TEN",7,215,"FinnCo20",133,59,7.09774436090226,69.875,188,NA,NA,NA,NA,NA,NA,NA,NA,2
"56","Terrence McGee","DB","Northwestern State (LA)",2003,"BUF",4,111,"McGeTe99",122,54,7.08196721311475,69.6,201,NA,4.55,15,37,126,4.07,6.87,NA,NA
"57","Marcus Trufant","DB","Washington State",2003,"SEA",1,11,"TrufMa20",136,60,7.05882352941176,71.1,199,NA,4.43,11,39,127,4.3,6.85,NA,NA
"58","Carlos Rogers","DB","Auburn",2005,"WAS",1,9,"RogeCa20",133,58,6.97744360902256,72.375,196,NA,4.45,15,40.5,126,3.82,6.48,1,1
"59","Marlon Humphrey","DB","Alabama",2017,"BAL",1,16,"HumpMa00",46,20,6.95652173913043,72.25,197,20,4.41,10,NA,125,4.28,6.75,NA,NA
"60","Deon Grant","DB","Tennessee",2000,"CAR",2,57,"GranDe21",176,76,6.90909090909091,73.8,209,NA,4.5,15,NA,NA,NA,NA,NA,NA
"61","Shaquill Griffin","DB",NA,2017,"SEA",3,90,"GrifSh00",45,19,6.75555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","William Moore","DB","Missouri",2009,"ATL",2,55,"MoorWi99",76,32,6.73684210526316,72.13,221,NA,4.56,16,37,123,4.26,6.81,1,NA
"63","Ken Hamlin","DB","Arkansas",2003,"SEA",2,42,"HamlKe20",107,45,6.72897196261682,74.5,209,NA,4.6,16,33,117,3.92,6.78,1,NA
"64","T.J. Ward","DB","Oregon",2010,"CLE",2,38,"WardT.99",107,45,6.72897196261682,70.5,211,NA,4.56,19,34,121,NA,NA,2,NA
"65","Antrel Rolle","DB","Miami (FL)",2005,"ARI",1,8,"RollAn20",155,65,6.70967741935484,72.125,201,NA,4.5,15,NA,NA,NA,NA,NA,NA
"66","LaRon Landry","DB","Louisiana State",2007,"WAS",1,6,"LandLa99",103,43,6.67961165048544,72.5,213,NA,4.38,NA,37.5,123,NA,NA,NA,NA
"67","Michael Griffin","DB","Texas",2007,"TEN",1,19,"GrifMi99",154,64,6.64935064935065,71.75,202,NA,4.48,16,36,120,4.1,6.6,NA,NA
"68","Tank Williams","DB","Stanford",2002,"TEN",2,45,"WillTa20",70,29,6.62857142857143,74.4,222,NA,4.41,19,38.5,119,3.93,6.78,NA,NA
"69","Antoine Bethea","DB","Howard (DC)",2006,"IND",6,207,"BethAn20",209,86,6.58373205741627,71,203,NA,4.42,19,36.5,127,4.11,6.99,2,NA
"70","Dashon Goldson","DB","Washington",2007,"SF",4,126,"GoldDa99",127,52,6.5511811023622,74,205,NA,4.64,12,34.5,115,4.46,7.37,2,NA
"71","Deltha O'Neal","DB",NA,2000,"DEN",1,15,"ONeaDe00",132,54,6.54545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Ha Ha Clinton-Dix","DB",NA,2014,"GB",1,21,"ClinHa00",96,39,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Byron Jones","DB","Connecticut",2015,"DAL",1,27,"JoneBy00",79,32,6.48101265822785,72.625,199,33,4.49,NA,44.5,147,3.94,6.78,1,1
"74","Vontae Davis","DB","Illinois",2009,"MIA",1,25,"DaviVo99",121,49,6.47933884297521,71.125,203,NA,4.4,25,36,125,4.07,6.75,2,1
"75","Donte Whitner","DB","Ohio State",2006,"BUF",1,8,"WhitDo20",157,63,6.4203821656051,70.1,204,NA,4.44,18,40,132,NA,NA,1,1
"76","Casey Hayward","DB","Vanderbilt",2012,"GB",2,62,"HaywCa00",115,46,6.4,71.375,192,NA,4.47,19,34,119,3.9,6.76,2,4
"77","Dawan Landry","DB","Georgia Tech",2006,"BAL",5,146,"LandDa21",130,52,6.4,72.88,220,NA,4.69,18,37.5,124,4.27,NA,NA,NA
"78","Tre Flowers","DB","Oklahoma State",2018,"SEA",5,146,"FlowTr01",30,12,6.4,75.25,200,NA,4.45,18,34.5,122,NA,NA,NA,NA
"79","Lito Sheppard","DB",NA,2002,"PHI",1,26,"ShepLi99",126,50,6.34920634920635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Josh Norman","DB","Coastal Carolina (SC)",2012,"CAR",5,143,"NormJo01",111,44,6.34234234234234,72.25,197,NA,4.61,14,33,124,4.23,7.09,NA,1
"81","Leon Hall","DB","Michigan",2007,"CIN",1,18,"HallLe98",152,60,6.31578947368421,71.25,193,NA,4.42,15,37.5,125,4.07,6.5,NA,1
"82","Will Allen","DB","Syracuse",2001,"NYG",1,22,"AlleWi20",140,55,6.28571428571429,70.5,192,NA,4.44,14,39.5,121,3.9,6.78,NA,NA
"83","Ken Lucas","DB",NA,2001,"SEA",2,40,"LucaKe20",138,54,6.26086956521739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Nathan Vasher","DB",NA,2004,"CHI",4,110,"VashNa99",87,34,6.25287356321839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Michael Lewis","DB","Colorado",2002,"PHI",2,58,"LewiMi99",128,50,6.25,73.1,211,NA,4.56,16,36.5,121,4.14,6.96,1,1
"86","Reshad Jones","DB","Georgia",2010,"MIA",5,163,"JoneRe99",128,50,6.25,73.25,214,NA,4.51,24,39.5,118,4.54,7.43,2,1
"87","Glover Quin","DB","New Mexico",2009,"HOU",4,112,"QuinGl99",159,62,6.23899371069182,70.75,204,NA,4.5,22,38,119,4.43,7.39,1,NA
"88","Greg Wesley","DB",NA,2000,"KC",3,85,"WeslGr20",118,46,6.23728813559322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Jairus Byrd","DB","Oregon",2009,"BUF",2,42,"ByrdJa99",118,46,6.23728813559322,70.125,207,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Brandon Flowers","DB","Virginia Tech",2008,"KC",2,35,"FlowBr99",119,46,6.18487394957983,69.75,189,NA,4.59,14,30,117,NA,NA,1,1
"91","Kareem Jackson","DB","Alabama",2010,"HOU",1,20,"JackKa99",145,56,6.17931034482759,70.5,196,NA,4.4,13,37.5,118,4.14,6.92,NA,NA
"92","Ronald Darby","DB","Florida State",2015,"BUF",2,50,"DarbRo00",57,22,6.17543859649123,70.625,193,17,4.38,12,41.5,129,4.14,6.94,NA,NA
"93","Bashaud Breeland","DB","Clemson",2014,"WAS",4,102,"BreeBa00",83,32,6.16867469879518,71.375,197,NA,4.62,11,34.5,123,4.33,7.04,NA,NA
"94","Jermaine Phillips","DB","Georgia",2002,"TB",5,157,"PhilJe20",96,37,6.16666666666667,73.1,214,NA,4.65,18,31.5,113,NA,NA,NA,NA
"95","Thomas DeCoud","DB","California",2008,"ATL",3,98,"DeCoTh99",104,40,6.15384615384615,73.375,207,NA,4.56,NA,35.5,122,4.27,6.85,1,NA
"96","Chris Houston","DB","Arkansas",2007,"ATL",2,41,"HousCh99",99,38,6.14141414141414,69.875,185,NA,4.37,27,36,122,4.12,6.94,NA,NA
"97","Sheldon Brown","DB","South Carolina",2002,"PHI",2,59,"BrowSh20",175,67,6.12571428571429,69.9,196,NA,4.46,15,36.5,118,4.24,7,NA,NA
"98","Dominique Rodgers-Cromartie","DB","Tennessee State",2008,"ARI",1,16,"RodgDo99",162,62,6.12345679012346,73.5,184,NA,4.36,17,38.5,131,4.17,6.74,2,1
