Name,Position,College,Weight,Forty,Vert,Bench,Broad,ThreeCone,Shuttle
Austin Mack,WR,Ohio State,208,4.59,31.5,,117,,4.42
James Lynch,DL,Baylor,289,5.01,29,23,111,7.39,4.39
Jordan Love,QB,Utah State,224,4.74,35.5,,118,7.21,4.52
Kalija Lipscomb,WR,Vanderbilt,207,4.57,32,16,127,,
Terrell Lewis,LB,Alabama,262,,37,,124,,
Damien Lewis,OL,LSU,327,5.24,30,27,108,,
Brian Lewerke,QB,Michigan State,213,4.95,31,,113,7.14,4.4
Shane Lemieux,OL,Oregon,310,5.11,25.5,,107,8.13,4.9
Javon Leake,RB,Maryland,215,4.65,34,,125,,
CeeDee Lamb,WR,Oklahoma,198,4.5,34.5,11,124,,
Cole Kmet,TE,Notre Dame,262,4.7,37,,123,7.44,4.41
Joshua Kelley,RB,UCLA,212,4.49,31,23,121,6.95,4.28
Dalton Keene,TE,Virginia Tech,253,4.71,34,21,125,7.07,4.19
Azur Kamara,LB,Kansas,245,4.59,28,13,121,7.2,4.46
Tony Jones,RB,Notre Dame,220,4.68,32.5,13,119,7.18,4.21
Juwan Johnson,WR,Oregon,230,4.58,33,14,124,6.94,4.37
Jaylon Johnson,CB,Utah,193,4.5,36.5,15,124,7.01,4.13
Jerry Jeudy,WR,Alabama,193,4.45,35,,120,,4.53
Jauan Jennings,WR,Tennessee,215,4.72,29,,119,,
Justin Jefferson,WR,LSU,202,4.43,37.5,,126,,
Trishton Jackson,WR,Syracuse,197,4.5,36,,117,,
Lamar Jackson,CB,Nebraska,208,4.58,36.5,10,122,,
Jonah Jackson,OL,Ohio State,306,5.23,26,28,98,7.83,5.02
Dane Jackson,CB,Pittsburgh,187,4.57,35,,122,7.07,4.27
Austin Jackson,OL,USC,322,5.07,31,27,115,7.95,
Cordel Iwuagwu,OL,TCU,309,5.22,27,25,94,8.03,4.87
Keith Ismael,OL,San Diego State,309,5.34,32,,108,8.14,4.65
Noah Igbinoghene,CB,Auburn,198,4.48,37,15,128,,
Jalen Hurts,QB,Oklahoma,222,4.59,35,,125,,
Khaleke Hudson,LB,Michigan,224,4.56,33,30,120,,
Brycen Hopkins,TE,Purdue,245,4.66,33.5,21,116,7.25,4.28
Isaiah Hodgins,WR,Oregon State,210,4.61,36.5,9,124,7.01,4.12
Trevon Hill,DL,Miami,248,4.89,28,,113,,
K.J. Hill,WR,Ohio State,196,4.6,32.5,17,114,,
John Hightower,WR,Boise State,189,4.43,38.5,,122,7.07,4.21
Alex Highsmith,DL,Charlotte,248,4.7,33,,125,7.32,4.31
Justin Herron,OL,Wake Forest,308,5.26,33,27,105,8.41,4.88
Brian Herrien,RB,Georgia,209,4.62,38.5,18,126,7.12,4.4
Justin Herbert,QB,Oregon,236,4.68,35.5,,123,7.06,4.46
Matt Hennessy,OL,Temple,307,5.18,30,23,110,7.45,4.6
C.J. Henderson,CB,Florida,204,4.39,37.5,20,127,,
Charlie Heck,OL,North Carolina,311,5.16,28,21,112,8.02,4.86
Jaylinn Hawkins,S,California,208,,35.5,,117,,
JaMycal Hasty,RB,Baylor,205,4.55,39,15,123,,4.03
Nick Harris,OL,Washington,302,5.1,29.5,20,103,,
Malik Harrison,LB,Ohio State,247,4.66,36,,122,6.83,4.32
Harrison Hand,CB,Temple,197,4.52,41,14,133,7.15,4.27
LaDarius Hamilton,DL,North Texas,262,4.89,30,27,114,7.66,4.49
DaVon Hamilton,DL,Ohio State,320,5.14,29.5,33,102,7.72,
Stephen Guidry,WR,Mississippi State,201,4.47,34,,125,7.31,4.46
Yetur Gross-Matos,DL,Penn State,266,,34,20,120,,
Jonathan Greenard,DL,Florida,263,4.87,30.5,22,113,7.13,4.34
Jeff Gladney,CB,TCU,191,4.48,37.5,17,124,7.26,
Alohi Gilman,S,Notre Dame,201,4.6,32,17,119,6.81,4.08
Antonio Gibson,WR,Memphis,228,4.39,35,16,118,,
Willie Gay Jr.,LB,Mississippi State,243,4.46,39.5,21,136,7.08,4.3
Jonathan Garvin,DL,Miami,263,4.82,36,23,125,,
Cale Garrett,LB,Missouri,234,4.92,32,,124,6.91,4.13
Antonio Gandy-Golden,WR,Liberty,223,4.6,36,22,127,7.33,4.55
