,Name,Position,College,DraftYear,Team,DraftRound,PickNumber,PlayerID,Games,AvgValue,AV16,Height,Weight,Wonderlic,Forty,Bench,Vert,Broad,Shuttle,ThreeCone,ProBowls,AllPros
53,Kirk Cousins,QB,Michigan State,2012,WAS,4,102,CousKi00,93,69,11.87096774,74.625,214,33,4.84,NA,28.5,109,4.5,7.05,2,NA
54,Tremaine Edmunds,LB,Virginia Tech,2018,BUF,1,16,EdmuTr01,31,23,11.87096774,76.5,253,NA,4.54,19,NA,117,NA,NA,NA,NA
55,Adrian Peterson,RB,Oklahoma,2007,MIN,1,7,PeteAd01,164,121,11.80487805,73.5,217,16,4.41,NA,38.5,127,4.4,7.09,7,7
56,Andy Dalton,QB,Texas Christian,2011,CIN,2,35,DaltAn00,133,98,11.78947368,74,215,29,4.83,NA,29.5,106,4.27,6.93,3,NA
57,Reggie Wayne,WR,Miami (FL),2001,IND,1,30,WaynRe00,211,155,11.7535545,72,198,NA,4.45,NA,36,NA,NA,NA,6,4
58,Darrelle Revis,DB,Pittsburgh,2007,NYJ,1,14,ReviDa99,145,106,11.69655172,71.5,204,NA,NA,16,NA,NA,NA,NA,6,5
59,Robert Griffin,QB,Baylor,2012,WAS,1,2,GrifRo01,52,38,11.69230769,74.375,223,24,4.33,NA,39,120,NA,NA,1,NA
60,Troy Polamalu,DB,NA,2003,PIT,1,16,PolaTr99,158,115,11.64556962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Marcus Peters,DB,Washington,2015,KC,1,18,PeteMa00,77,56,11.63636364,71.625,197,13,4.53,17,37.5,121,4.08,7.08,2,3
62,Todd Gurley,RB,Georgia,2015,STL,1,10,GurlTo01,73,53,11.61643836,72.625,222,12,4.52,17,NA,NA,NA,NA,3,3
63,Clinton Portis,RB,NA,2002,DEN,2,51,PortCl00,113,82,11.61061947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Patrick Peterson,DB,Louisiana State,2011,ARI,1,5,PetePa00,138,100,11.5942029,72.25,219,NA,4.31,15,38,126,4.07,6.58,6,3
65,A.J. Green,WR,Georgia,2011,CIN,1,4,GreeA.00,111,80,11.53153153,75.625,211,10,4.48,18,34.5,126,4.21,6.91,7,3
66,Odell Beckham,WR,Louisiana State,2014,NYG,1,12,BeckOd00,75,54,11.52,71.25,198,NA,4.43,7,38.5,122,3.94,6.69,3,3
67,Ryan Tannehill,QB,Texas A&M,2012,MIA,1,8,TannRy00,100,72,11.52,75.875,221,34,4.65,NA,NA,NA,NA,NA,1,NA
68,DeMarcus Ware,LB,Troy (AL),2005,DAL,1,11,WareDe99,178,128,11.50561798,76,251,NA,4.6,27,38.5,122,4.07,6.83,5,7
69,Minkah Fitzpatrick,DB,Alabama,2018,MIA,1,11,FitzMi00,32,23,11.5,72.125,204,NA,4.46,14,33,121,NA,NA,NA,NA
70,Haloti Ngata,DL,Oregon,2006,BAL,1,12,NgatHa20,180,129,11.46666667,76.125,338,NA,5.18,37,31.5,110,4.65,7.95,5,5
71,Gardner Minshew,QB,Washington State,2019,JAX,6,178,MinsGa00,14,10,11.42857143,72.875,225,NA,4.97,NA,33.5,116,4.45,7.14,NA,NA
72,Rob Gronkowski,TE,Arizona,2010,NE,2,42,GronRo00,115,82,11.40869565,78.25,258,NA,4.68,23,NA,NA,NA,NA,5,5
73,Jay Cutler,QB,Vanderbilt,2006,DEN,1,11,CutlJa00,153,109,11.39869281,75.25,226,26,4.81,23,NA,NA,4.26,7.1,1,NA
74,Lance Briggs,LB,Arizona,2003,CHI,3,68,BrigLa99,173,123,11.37572254,72.6,242,NA,4.78,25,33,113,NA,NA,NA,NA
75,Alex Smith,QB,Utah,2005,SF,1,1,SmitAl03,166,118,11.37349398,76.125,217,40,4.78,NA,32,113,3.96,6.82,3,NA
76,Colin Kaepernick,QB,Nevada,2011,SF,2,36,KaepCo00,69,49,11.36231884,76.625,233,NA,4.53,NA,32.5,115,4.18,6.85,NA,NA
77,Tyron Smith,OL,Southern California,2011,DAL,1,9,SmitTy00,131,93,11.35877863,77,307,NA,5.08,29,NA,NA,NA,NA,NA,2
78,DeMarco Murray,RB,Oklahoma,2011,DAL,3,71,MurrDe00,99,70,11.31313131,71.625,213,NA,4.37,21,34.5,130,4.18,7.28,3,1
79,Steve Hutchinson,OL,Michigan,2001,SEA,1,17,HutcSt00,169,119,11.26627219,77.1,315,NA,5.14,31,33.5,106,4.74,7.82,NA,NA
80,Fletcher Cox,DL,Mississippi State,2012,PHI,1,12,CoxxFl00,125,88,11.264,76,298,NA,4.77,30,26,103,4.53,7.07,5,3
81,Matt Light,OL,Purdue,2001,NE,2,48,LighMa20,155,109,11.2516129,76.8,311,NA,5.3,26,NA,NA,4.49,7.84,NA,NA
82,Baker Mayfield,QB,Oklahoma,2018,CLE,1,1,MayfBa00,30,21,11.2,72.625,215,NA,4.84,NA,29,111,4.28,7,NA,NA
83,Eli Manning,QB,Mississippi,2004,SD,1,1,MannEl00,236,165,11.18644068,76.8,221,39,4.9,NA,NA,NA,NA,NA,4,NA
84,Chad Pennington,QB,Marshall (WV),2000,NYJ,1,18,PennCh01,89,62,11.14606742,75.4,229,25,4.85,NA,33.5,111,4.16,7.12,NA,NA
85,Kris Jenkins,DL,Maryland,2001,CAR,2,44,JenkKr00,108,75,11.11111111,76.9,318,NA,5.18,33,31,108,4.4,7.85,NA,2
86,Daniel Jones,QB,Duke,2019,NYG,1,6,JoneDa05,13,9,11.07692308,77.125,221,NA,4.81,NA,33.5,120,4.41,7,NA,NA
87,Joseph Addai,RB,Louisiana State,2006,IND,1,30,AddaJo00,78,54,11.07692308,71.25,214,NA,4.43,18,37,125,4.47,7.09,1,NA
88,Joe Flacco,QB,Delaware,2008,BAL,1,18,FlacJo00,171,118,11.04093567,78.38,236,27,4.86,NA,28.5,110,4.27,6.82,NA,NA
89,Richard Seymour,DL,NA,2001,NE,1,6,SeymRi00,164,113,11.02439024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Calvin Johnson,WR,Georgia Tech,2007,DET,1,2,JohnCa00,135,93,11.02222222,77,239,NA,4.38,NA,NA,NA,NA,NA,6,4
91,Julius Peppers,DL,NA,2002,CAR,1,2,PeppJu99,266,183,11.0075188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,Nick Bosa,DL,Ohio State,2019,SF,1,2,BosaNi00,16,11,11,75.75,266,NA,4.79,29,33.5,116,4.14,7.1,1,NA
93,Travis Kelce,TE,Cincinnati,2013,KC,3,63,KelcTr00,96,66,11,76.875,257,22,4.63,NA,NA,NA,NA,NA,5,4
94,Dont'a Hightower,LB,Alabama,2012,NE,1,25,HighDo01,102,70,10.98039216,74.25,265,NA,4.62,NA,32,NA,NA,NA,NA,NA
95,Mitch Trubisky,QB,NA,2017,CHI,1,2,TrubMi00,41,28,10.92682927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Ryan Clady,OL,Boise State,2008,DEN,1,12,CladRy20,107,73,10.91588785,78.125,309,NA,NA,24,NA,NA,NA,NA,NA,NA
97,T.J. Watt,LB,NA,2017,PIT,1,30,WattT.00,47,32,10.89361702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,Bob Sanders,DB,Iowa,2004,IND,2,44,SandBo99,50,34,10.88,68.4,204,NA,4.4,15,41.5,128,3.91,6.7,1,NA
99,Geno Atkins,DL,Georgia,2010,CIN,4,120,AtkiGe99,153,104,10.87581699,73.375,293,NA,4.75,34,33,117,4.43,7.33,6,5
100,Matt Forte,RB,NA,2008,CHI,2,44,FortMa00,146,99,10.84931507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Calais Campbell,DL,Miami (FL),2008,ARI,2,50,CampCa99,186,125,10.75268817,79.75,290,NA,5.11,16,29.5,111,4.69,7.45,4,4
102,Ndamukong Suh,DL,Nebraska,2010,DET,1,2,SuhxNd99,158,106,10.73417722,75.875,307,NA,5.03,32,35.5,105,4.44,7.21,5,7
103,Sebastian Vollmer,OL,Houston,2009,NE,2,58,VollSe20,88,59,10.72727273,79.625,312,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Jared Allen,DL,Idaho State,2004,KC,4,126,AlleJa22,187,125,10.69518717,78,265,NA,4.76,13,33,120,4.34,7.11,5,4
105,Chris Carson,RB,NA,2017,SEA,7,249,CarsCh00,33,22,10.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,Jalen Ramsey,DB,Florida State,2016,JAX,1,5,RamsJa00,60,40,10.66666667,73.25,209,NA,4.41,14,41.5,135,4.18,6.94,NA,NA
107,Joey Bosa,DL,Ohio State,2016,SD,1,3,BosaJo00,51,34,10.66666667,77.25,269,NA,4.86,24,32,120,4.21,6.89,2,1
108,Marc Bulger,QB,West Virginia,2000,NO,6,168,BulgMa00,96,64,10.66666667,73.6,208,29,4.96,NA,NA,100,4.34,7.46,2,NA
109,Maurice Jones-Drew,RB,UCLA,2006,JAX,2,60,DrewMa00,126,84,10.66666667,66.75,207,NA,4.39,18,36,116,4.38,7.08,3,2
110,Muhammad Wilkerson,DL,Temple,2011,NYJ,1,30,WilkMu00,108,72,10.66666667,76.125,315,NA,4.96,27,26,106,4.59,7.31,1,3
111,Andrus Peat,OL,Stanford,2015,NO,1,13,PeatAn00,65,43,10.58461538,78.875,313,NA,5.18,NA,31,105,4.62,8.01,NA,NA
112,Josh Freeman,QB,Kansas State,2009,TB,1,17,FreeJo00,62,41,10.58064516,77.75,248,27,4.9,NA,33.5,119,4.43,7.11,NA,NA
113,Brian Westbrook,RB,Villanova,2002,PHI,3,91,WestBr00,121,80,10.5785124,68.4,200,NA,4.59,26,37,118,NA,7.09,2,2
114,Larry Johnson,RB,Penn State,2003,KC,1,27,JohnLa00,85,56,10.54117647,74.4,214,NA,4.55,19,NA,NA,NA,NA,2,2
115,Earl Thomas,DB,Texas,2010,SEA,1,14,ThomEa99,140,92,10.51428571,70.25,202,NA,4.43,21,NA,113,NA,NA,NA,NA
116,Mitchell Schwartz,OL,California,2012,CLE,2,37,SchwMi00,128,84,10.5,77.375,318,NA,5.38,23,26.5,89,4.87,7.86,NA,NA
117,Jon Beason,LB,Miami (FL),2007,CAR,1,25,BeasJo99,93,61,10.49462366,72.25,237,NA,4.76,19,NA,111,NA,NA,1,NA
118,Dan Koppen,OL,Boston College,2003,NE,5,164,KoppDa20,136,89,10.47058824,74.6,297,NA,5.31,27,28.5,101,4.46,8.24,1,1
119,Clay Matthews,LB,Southern California,2009,GB,1,26,MattCl99,156,102,10.46153846,75.125,240,27,4.62,23,35.5,121,4.18,6.9,5,3
120,Terron Armstead,OL,Arkansas-Pine Bluff,2013,NO,3,75,ArmsTe00,75,49,10.45333333,76.75,306,27,4.71,31,34.5,112,4.72,7.62,NA,NA
121,T.Y. Hilton,WR,Florida International,2012,IND,3,92,HiltT.00,118,77,10.44067797,69.5,183,NA,4.37,NA,NA,NA,NA,NA,4,NA
122,Eddie Jackson,DB,Alabama,2017,CHI,4,112,JackEd01,46,30,10.43478261,72,201,NA,NA,10,NA,NA,4.2,NA,1,NA
123,Keenan Allen,WR,California,2013,SD,3,76,AlleKe00,86,56,10.41860465,74,206,NA,NA,NA,NA,NA,NA,NA,3,2
124,LeSean McCoy,RB,Pittsburgh,2009,PHI,2,53,McCoLe01,160,104,10.4,70.375,198,NA,NA,NA,NA,NA,NA,NA,6,2
125,Trent Williams,OL,Oklahoma,2010,WAS,1,4,WillTr21,120,78,10.4,76.625,315,NA,4.81,23,34.5,113,4.63,7.64,NA,1
126,Derek Carr,QB,Frenso State (CA),2014,OAK,2,36,CarrDe02,94,61,10.38297872,74.375,214,20,4.69,NA,34.5,110,4.2,NA,3,NA
127,Andre Johnson,WR,Miami (FL),2003,HOU,1,3,JohnAn02,193,125,10.3626943,74,230,NA,4.4,NA,39,132,NA,NA,7,6
128,Chandler Jones,DL,Syracuse,2012,NE,1,21,JoneCh03,119,77,10.35294118,77.375,266,NA,4.77,22,35,120,4.38,7.07,1,1
129,Jammal Brown,OL,Oklahoma,2005,NO,1,13,BrowJa55,85,55,10.35294118,77.875,316,NA,5.09,NA,31.5,109,4.67,7.93,NA,NA
130,Andrew Whitworth,OL,Louisiana State,2006,CIN,2,55,WhitAn20,215,139,10.34418605,79,334,NA,5.17,28,30.5,112,4.83,8.23,NA,1
131,Marcus McNeill,OL,Auburn,2006,SD,2,50,McNeMa20,82,53,10.34146341,79.625,336,NA,5.09,NA,31,98,5,8.19,NA,NA
132,Jamie Collins,LB,Southern Mississippi,2013,NE,2,52,CollJa00,96,62,10.33333333,75.5,250,17,4.64,19,41.5,139,4.32,7.1,NA,1
133,Daryl Washington,LB,Texas Christian,2010,ARI,2,47,WashDa99,59,38,10.30508475,73.75,230,NA,4.58,17,31,114,NA,NA,NA,NA
134,Shaun Alexander,RB,NA,2000,SEA,1,19,AlexSh00,123,79,10.27642276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,Leighton Vander Esch,LB,Boise State,2018,DAL,1,19,VandLe00,25,16,10.24,76.25,256,NA,4.65,20,39.5,124,4.15,6.88,NA,NA
136,Percy Harvin,WR,Florida,2009,MIN,1,22,HarvPe00,75,48,10.24,71.125,192,12,4.39,19,NA,NA,NA,NA,NA,1
137,Cameron Jordan,DL,California,2011,NO,1,24,JordCa00,144,92,10.22222222,76.125,287,NA,4.74,25,31,117,4.37,7.07,5,4
138,Chris Johnson,RB,East Carolina (NC),2008,TEN,1,24,JohnCh04,130,83,10.21538462,71,197,10,4.3,NA,35,130,NA,NA,3,1
139,Chris Snee,OL,Boston College,2004,NYG,2,34,SneeCh20,141,90,10.21276596,74.8,314,NA,5.1,29,30.5,104,4.66,7.75,NA,NA
140,TreDavious White,DB,Louisiana State,2017,BUF,1,27,WhitTr01,47,30,10.21276596,71.25,192,NA,4.47,16,32,117,4.32,6.9,NA,NA
141,Louis Vasquez,OL,Texas Tech,2009,SD,3,78,VasqLo20,102,65,10.19607843,76.75,333,NA,5.22,39,NA,NA,NA,NA,NA,NA
142,Brandin Cooks,WR,Oregon State,2014,NO,1,20,CookBr00,88,56,10.18181818,69.75,189,NA,4.33,16,36,120,3.81,6.76,NA,NA
143,Teddy Bridgewater,QB,Louisville,2014,MIN,1,32,BridTe00,44,28,10.18181818,74.125,214,20,NA,NA,30,112,4.2,7.17,1,NA
144,Travis Frederick,OL,Wisconsin,2013,DAL,1,31,FredTr00,96,61,10.16666667,75.625,312,NA,5.58,21,28.5,97,4.76,7.81,5,4
145,Terrell Suggs,LB,NA,2003,BAL,1,10,SuggTe99,244,155,10.16393443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,Shawn Andrews,OL,Arkansas,2004,PHI,1,16,AndrSh55,63,40,10.15873016,76.1,366,NA,5.49,27,25,98,4.85,8.25,NA,NA
147,Joe Thomas,OL,Wisconsin,2007,CLE,1,3,ThomJo28,167,106,10.15568862,78.63,311,NA,4.94,28,33,110,4.88,7.95,NA,1
148,Steve Smith,WR,Utah,2001,CAR,3,74,SmitSt01,219,139,10.15525114,69,184,NA,4.44,NA,38.5,121,4.25,7.44,6,4
149,Jamal Lewis,RB,Tennessee,2000,BAL,1,5,LewiJa00,131,83,10.13740458,71.8,240,NA,4.58,23,NA,NA,NA,NA,NA,NA
150,Eddie Lacy,RB,Alabama,2013,GB,2,61,LacyEd00,60,38,10.13333333,71,220,17,4.55,NA,NA,NA,NA,NA,1,1
151,Marshal Yanda,OL,Florida State,2007,BAL,3,86,YandMa20,177,112,10.12429379,75.875,307,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Jack Conklin,OL,Michigan State,2016,TEN,1,8,ConkJa00,57,36,10.10526316,77.75,308,NA,5,25,30,103,4.57,7.63,NA,NA
153,Jacoby Brissett,QB,North Carolina State,2016,NE,3,91,BrisJa00,38,24,10.10526316,75.75,231,NA,4.94,NA,31,113,4.53,7.17,NA,NA
154,Telvin Smith,LB,Florida State,2014,JAX,5,144,SmitTe01,76,48,10.10526316,75,218,NA,4.52,NA,31.5,117,NA,NA,NA,NA
155,Lofa Tatupu,LB,Southern California,2005,SEA,2,45,TatuLo99,84,53,10.0952381,71.875,238,NA,4.84,23,35,113,4.16,7.31,NA,1
156,Jamal Adams,DB,Louisiana State,2017,NYJ,1,6,AdamJa00,46,29,10.08695652,71.625,214,11,4.56,18,31.5,120,4.13,6.96,1,NA
157,Deuce McAllister,RB,Mississippi,2001,NO,1,23,McAlDe00,97,61,10.06185567,73.1,222,NA,4.41,20,37.5,NA,NA,NA,2,2
158,Stefon Diggs,WR,Maryland,2015,MIN,5,146,DiggSt00,70,44,10.05714286,72,195,NA,4.46,NA,35,115,4.32,7.03,NA,NA
159,Dez Bryant,WR,Oklahoma State,2010,DAL,1,24,BryaDe01,113,71,10.05309735,74,225,NA,NA,NA,NA,NA,NA,NA,3,1
160,Justin Houston,LB,Georgia,2011,KC,3,70,HousJu00,118,74,10.03389831,74.875,270,NA,4.62,30,36.5,125,4.37,6.95,2,2
161,Jason Kelce,OL,Cincinnati,2011,PHI,6,191,KelcJa00,126,79,10.03174603,74.625,280,NA,4.89,NA,30.5,110,4.14,7.22,3,4
162,Melvin Gordon,RB,Wisconsin,2015,SD,1,15,GordMe00,67,42,10.02985075,72.625,215,20,4.52,19,35,126,4.07,7.04,2,NA
163,Chad Johnson,WR,Oregon State,2001,CIN,2,36,JohnCh01,166,104,10.02409639,73,192,NA,4.58,NA,33,108,4.14,7.51,6,4
164,Roddy White,WR,Alabama-Birmingham,2005,ATL,1,27,WhitRo00,171,107,10.01169591,73.25,207,NA,NA,NA,NA,NA,NA,NA,4,1
165,A.J. Brown,WR,Mississippi,2019,TEN,2,51,BrowAJ00,16,10,10,72.5,226,NA,4.49,19,36.5,120,NA,NA,NA,NA
166,David DeCastro,OL,Stanford,2012,PIT,1,24,DeCaDa00,112,70,10,76.875,316,NA,5.32,34,29.5,98,4.56,7.3,NA,NA
167,Tytus Howard,OL,Alabama State,2019,HOU,1,23,HowaTy00,8,5,10,77,322,NA,5.05,21,29.5,103,4.87,8.34,NA,NA
168,Anthony Barr,LB,UCLA,2014,MIN,1,9,BarrAn00,85,53,9.976470588,76.875,255,NA,4.66,15,34.5,117,4.19,6.82,2,NA
169,Max Unger,OL,Oregon,2009,SEA,2,49,UngeMa20,130,81,9.969230769,76.625,309,NA,5.26,22,24.5,93,4.5,7.39,3,1
170,Eric Kendricks,LB,UCLA,2015,MIN,2,45,KendEr00,74,46,9.945945946,72.25,232,14,4.61,19,38,124,NA,NA,NA,NA
171,Myles Garrett,DL,Texas A&M,2017,CLE,1,1,GarrMy00,37,23,9.945945946,76.25,272,31,4.64,33,41,128,4.2,NA,1,1
172,Jake Matthews,OL,Texas A&M,2014,ATL,1,6,MattJa00,95,59,9.936842105,77.5,308,NA,5.07,24,30.5,104,4.47,7.34,NA,NA
173,DeForest Buckner,DL,Oregon,2016,SF,1,7,BuckDe00,63,39,9.904761905,79,291,9,5.05,NA,32,116,4.47,7.51,NA,NA
174,Derwin James,DB,Florida State,2018,LAC,1,17,JameDe00,21,13,9.904761905,73.75,215,NA,4.47,21,40,132,NA,NA,NA,NA
