"","Year","Name","College","Position","Height","Weight","Wonderlic","X40YD","Bench","Vert","Broad","Shuttle","X3Cone","ProBowls","AllPros","Success"
"1",1998,"Peyton Manning","Tennessee","QB",77.3,230,NA,NA,NA,NA,NA,NA,NA,14,10,34
"2",1997,"Tony Gonzalez","California","TE",76.1,244,NA,4.83,NA,33.5,116,4.06,7.75,14,10,34
"3",2000,"Tom Brady","Michigan","QB",76.4,211,33,5.3,NA,24.5,99,4.38,7.2,14,7,28
"4",1991,"Brett Favre","Southern Mississippi","QB",74,217,NA,NA,NA,NA,NA,NA,NA,11,7,25
"5",1996,"Marvin Harrison","Syracuse","WR",71.9,181,NA,NA,NA,NA,NA,NA,NA,8,8,24
"6",1994,"Kevin Mawae","Louisiana State","C",75.6,385,NA,5.35,22,29,108,4.57,NA,8,8,24
"7",2001,"Drew Brees","Purdue","QB",72.3,213,28,4.85,NA,32,105,4.21,7.09,13,5,23
"8",2003,"Jason Witten","Tennessee","TE",77.8,264,NA,4.65,25,31,NA,NA,NA,11,6,23
"9",2007,"Adrian Peterson","Oklahoma","RB",73.5,217,16,4.41,NA,38.5,127,4.4,7.09,7,7,21
"10",2002,"Adrian Peterson","Georgia Southern","RB",70,214,NA,4.69,14,34,117,4.6,7.59,7,7,21
"11",1990,"Shannon Sharpe","Savannah State (GA)","TE",73.3,221,NA,4.67,NA,34,122,4.55,NA,8,6,20
"12",2011,"Julio Jones","Alabama","WR",74.75,220,NA,4.34,17,38.5,135,4.25,6.66,7,6,19
"13",2003,"Andre Johnson","Miami (FL)","WR",74,230,NA,4.4,NA,39,132,NA,NA,7,6,19
"14",1988,"Dermontti Dawson","Kentucky","C",74.3,272,NA,4.94,24,30,109,4.34,NA,7,6,19
"15",2010,"Ndamukong Suh","Nebraska","DT",75.875,307,NA,5.03,32,35.5,105,4.44,7.21,5,7,19
"16",2005,"DeMarcus Ware","Troy (AL)","OLB",76,251,NA,4.6,27,38.5,122,4.07,6.83,5,7,19
"17",1989,"Steve Atwater","Arkansas","FS",75.5,212,NA,4.63,7,37.5,114,4.14,NA,7,6,19
"18",2010,"Maurkice Pouncey","Florida","C",76.5,304,NA,5.25,NA,NA,95,4.92,7.74,8,5,18
"19",2014,"Aaron Donald","Pittsburgh","DT",72.75,285,NA,4.68,35,32,115,4.39,7.11,6,6,18
"20",2001,"LaDainian Tomlinson","Texas Christian","RB",70.3,221,NA,4.43,18,40.5,124,4.21,6.84,5,6,17
"21",1988,"Thurman Thomas","Oklahoma State","RB",69.9,198,NA,4.47,13,33,114,4.21,NA,5,6,17
"22",2011,"J.J. Watt","Wisconsin","DE",77.375,290,NA,4.91,34,37,120,4.21,6.88,5,6,17
"23",2005,"Aaron Rodgers","California","QB",74,223,39,4.75,NA,34.5,110,NA,7.38,8,4,16
"24",1994,"Marshall Faulk","San Diego State","RB",70.1,206,NA,NA,NA,NA,NA,NA,NA,6,5,16
"25",2010,"Antonio Brown","Central Michigan","WR",70.125,186,NA,4.56,13,33.5,105,4.18,6.98,6,5,16
"26",1998,"Randy Moss","Marshall (WV)","WR",75.6,194,17,4.38,NA,33,117,4.17,7.19,6,5,16
"27",1996,"Terrell Owens","Tennessee-Chattanooga","WR",74.9,213,NA,4.65,NA,33,120,4.26,NA,6,5,16
"28",1997,"Jason Taylor","Akron","DE",78,243,NA,4.67,18,32,111,4.07,7.27,6,5,16
"29",2010,"Geno Atkins","Georgia","DT",73.375,293,NA,4.75,34,33,117,4.43,7.33,6,5,16
"30",2007,"Patrick Willis","Mississippi","ILB",73.125,242,NA,4.53,22,39,119,4.46,7.23,4,6,16
"31",2007,"Darrelle Revis","Pittsburgh","CB",71.5,204,NA,NA,16,NA,NA,NA,NA,6,5,16
"32",1995,"Curtis Martin","Pittsburgh","RB",71.3,203,NA,NA,16,41.5,131,4.1,NA,5,5,15
"33",1988,"Sterling Sharpe","South Carolina","WR",71.5,202,NA,NA,NA,NA,NA,NA,NA,5,5,15
"34",2010,"Rob Gronkowski","Arizona","TE",78.25,258,NA,4.68,23,NA,NA,NA,NA,5,5,15
"35",1988,"Keith Jackson","Oklahoma","TE",74.4,250,NA,4.69,NA,29,NA,4.59,NA,5,5,15
"36",2006,"Nick Mangold","Ohio State","C",75.63,300,NA,5.09,24,27.5,104,4.36,7.47,7,4,15
"37",2002,"Dwight Freeney","Syracuse","DE",72.9,266,NA,4.48,28,NA,NA,NA,NA,7,4,15
"38",2006,"Haloti Ngata","Oregon","DT",76.125,338,NA,5.18,37,31.5,110,4.65,7.95,5,5,15
"39",2007,"Calvin Johnson","Georgia Tech","WR",77,239,NA,4.38,NA,NA,NA,NA,NA,6,4,14
"40",2007,"Steve Smith","Southern California","WR",71.75,197,NA,4.45,NA,38,120,4.19,6.68,6,4,14
"41",2006,"Brandon Marshall","Central Florida","WR",76.5,229,NA,4.54,28,37,120,4.09,7.05,6,4,14
"42",2001,"Chad Johnson","Oregon State","WR",73,192,NA,4.58,NA,33,108,4.14,7.51,6,4,14
"43",2001,"Steve Smith","Utah","WR",69,184,NA,4.44,NA,38.5,121,4.25,7.44,6,4,14
"44",2001,"Reggie Wayne","Miami (FL)","WR",72,198,NA,4.45,NA,36,NA,NA,NA,6,4,14
"45",1998,"Olin Kreutz","Washington","C",74.1,300,NA,5.32,30,28,100,4.55,8.1,6,4,14
"46",1998,"Jeff Saturday","North Carolina","C",74.4,292,NA,5.24,25,25,100,4.85,8.52,6,4,14
"47",2010,"Gerald McCoy","Oklahoma","DT",76.125,295,NA,5.04,23,30.5,114,4.48,7.32,6,4,14
"48",2011,"Von Miller","Texas A&M","OLB",74.625,246,NA,4.42,21,37,126,4.06,6.7,6,4,14
"49",2018,"Anthony Miller","Memphis","WR",71.125,201,NA,NA,22,NA,NA,NA,NA,5,4,13
"50",2011,"A.J. Green","Georgia","WR",75.625,211,10,4.48,18,34.5,126,4.21,6.91,7,3,13
"51",1989,"Andre Rison","Michigan State","WR",70,187,NA,4.47,NA,35,114,3.96,NA,5,4,13
"52",1988,"Anthony Miller","Tennessee","WR",70.6,181,NA,4.38,14,32,111,4.2,NA,5,4,13
"53",2013,"Travis Kelce","Cincinnati","TE",76.875,257,22,4.63,NA,NA,NA,NA,NA,5,4,13
"54",1991,"Ben Coates","Livingstone (NC)","TE",76.5,243,NA,4.95,15,28,109,4.56,NA,5,4,13
"55",1989,"Wesley Walls","Mississippi","TE",76.5,240,NA,4.77,NA,NA,110,NA,NA,5,4,13
"56",2013,"Travis Frederick","Wisconsin","C",75.625,312,NA,5.58,21,28.5,97,4.76,7.81,5,4,13
"57",2007,"Ryan Kalil","Southern California","C",74.75,299,NA,4.98,34,26,104,4.34,7.5,5,4,13
"58",2011,"Cameron Jordan","California","DE",76.125,287,NA,4.74,25,31,117,4.37,7.07,5,4,13
"59",2004,"Jared Allen","Idaho State","DE",78,265,NA,4.76,13,33,120,4.34,7.11,5,4,13
"60",2011,"Richard Sherman","Stanford","CB",74.625,195,NA,4.54,16,38,125,4.33,6.82,3,5,13
"61",2004,"Philip Rivers","North Carolina State","QB",77,229,30,5.08,NA,NA,NA,NA,NA,8,2,12
"62",1999,"Edgerrin James","Miami (FL)","RB",72,216,NA,4.38,NA,NA,NA,3.88,6.87,4,4,12
"63",2013,"DeAndre Hopkins","Clemson","WR",73,214,NA,4.57,15,36,115,4.5,NA,4,4,12
"64",2009,"Alex Mack","California","C",75.875,311,NA,NA,NA,NA,NA,NA,NA,6,3,12
"65",2008,"Calais Campbell","Miami (FL)","DE",79.75,290,NA,5.11,16,29.5,111,4.69,7.45,4,4,12
"66",2006,"Mario Williams","North Carolina State","DE",74.4,269,NA,4.75,25,34,111,4.54,7.49,4,4,12
"67",1993,"Michael Strahan","Texas Southern","DE",76.3,252,NA,4.94,25,32.5,120,4.47,NA,4,4,12
"68",2004,"Vince Wilfork","Miami (FL)","DT",73.3,323,NA,5.21,36,NA,NA,NA,NA,4,4,12
"69",1996,"Ray Lewis","Miami (FL)","ILB",72.4,235,NA,NA,NA,NA,NA,NA,NA,2,5,12
"70",2011,"Patrick Peterson","Louisiana State","CB",72.25,219,NA,4.31,15,38,126,4.07,6.58,6,3,12
"71",1999,"Champ Bailey","Georgia","CB",71.8,184,NA,4.28,NA,37,121,3.79,NA,4,4,12
"72",1991,"Merton Hanks","Iowa","FS",73.5,177,NA,4.77,NA,36,117,4.15,NA,4,4,12
"73",1995,"Terrell Davis","Georgia","RB",71.6,213,NA,4.72,NA,35,120,4.41,NA,3,4,11
"74",1991,"Ricky Watters","Notre Dame","RB",73,212,NA,4.71,18,34.5,111,4.41,NA,5,3,11
"75",1999,"Torry Holt","North Carolina State","WR",72.3,192,NA,4.44,NA,37,118,NA,NA,7,2,11
"76",2011,"Jason Kelce","Cincinnati","C",74.625,280,NA,4.89,NA,30.5,110,4.14,7.22,3,4,11
"77",1994,"Tom Nalen","Boston College","C",74.9,280,NA,5.14,20,28,102,4.59,NA,5,3,11
"78",2012,"Fletcher Cox","Mississippi State","DT",76,298,NA,4.77,30,26,103,4.53,7.07,5,3,11
"79",2009,"Clay Matthews","Southern California","OLB",75.125,240,27,4.62,23,35.5,121,4.18,6.9,5,3,11
"80",2003,"Nnamdi Asomugha","California","CB",74.4,213,NA,4.5,16,37.5,124,NA,NA,3,4,11
"81",1993,"John Lynch","Stanford","SS",73.1,219,NA,NA,NA,NA,NA,NA,NA,5,3,11
"82",1992,"Darren Woodson","Arizona State","SS",73,219,NA,4.53,19,37.5,128,4.28,NA,5,3,11
"83",2008,"Matt Ryan","Boston College","QB",76.75,228,32,4.94,NA,NA,NA,4.51,7.4,4,3,10
"84",1987,"Rich Gannon","Delaware","QB",74.3,193,NA,4.58,7,32.5,110,4.11,NA,4,3,10
"85",2009,"Arian Foster","Tennessee","RB",72.75,226,NA,4.68,23,NA,NA,NA,NA,4,3,10
"86",2009,"LeSean McCoy","Pittsburgh","RB",70.375,198,NA,NA,NA,NA,NA,NA,NA,6,2,10
"87",2008,"Jamaal Charles","Texas","RB",71,200,NA,4.41,NA,30.5,122,4.22,6.8,4,3,10
"88",1994,"Isaac Bruce","Memphis","WR",71.5,173,NA,4.55,NA,36.5,121,4.15,NA,4,3,10
"89",1991,"Herman Moore","Virginia","WR",75.5,205,NA,NA,NA,NA,NA,NA,NA,4,3,10
"90",2012,"Casey Hayward","Vanderbilt","CB",71.375,192,NA,4.47,19,34,119,3.9,6.76,2,4,10
"91",2015,"Todd Gurley","Georgia","RB",72.625,222,12,4.52,17,NA,NA,NA,NA,3,3,9
"92",2007,"Marshawn Lynch","California","RB",71.125,215,NA,4.48,20,35.5,125,4.55,7.05,5,2,9
"93",1997,"Priest Holmes","Texas","RB",68.9,213,NA,4.73,18,33,115,4.14,7.4,3,3,9
"94",2016,"Michael Thomas","Ohio State","WR",74.75,212,NA,4.57,18,35,126,4.13,6.8,3,3,9
"95",2014,"Odell Beckham","Louisiana State","WR",71.25,198,NA,4.43,7,38.5,122,3.94,6.69,3,3,9
"96",2010,"Jimmy Graham","Miami (FL)","TE",78.25,260,NA,4.53,NA,38.5,120,4.45,6.9,5,2,9
"97",2007,"Greg Olsen","Miami (FL)","TE",77.88,254,NA,4.53,23,35.5,114,4.48,7.04,3,3,9
"98",1996,"Simeon Rice","Illinois","DE",77,259,NA,4.79,26,NA,NA,NA,NA,3,3,9
"99",2008,"Aqib Talib","Kansas","CB",72.75,202,NA,4.5,10,38,131,4.22,6.82,5,2,9
"100",2012,"Russell Wilson","Wisconsin","QB",70.625,204,28,4.53,NA,34,118,4.09,6.97,6,1,8
"101",2004,"Ben Roethlisberger","Miami (OH)","QB",76.9,241,25,4.75,NA,NA,NA,NA,NA,6,1,8
"102",1993,"Drew Bledsoe","Washington State","QB",77,233,NA,NA,NA,32.5,111,4.54,NA,4,2,8
"103",1997,"Tiki Barber","Virginia","RB",69.4,203,NA,4.56,15,35.5,120,4,7.18,2,3,8
"104",2010,"Demaryius Thomas","Georgia Tech","WR",75.25,224,NA,NA,NA,NA,NA,NA,NA,4,2,8
"105",1992,"Carl Pickens","Tennessee","WR",74.3,206,NA,NA,NA,NA,NA,NA,NA,2,3,8
"106",1992,"Jimmy Smith","Jackson State (MS)","WR",72.8,200,NA,4.58,NA,35,120,4.14,NA,4,2,8
"107",1995,"Warren Sapp","Miami (FL)","DT",73,281,NA,NA,NA,NA,NA,NA,NA,2,3,8
"108",2012,"Luke Kuechly","Boston College","ILB",75.25,242,NA,4.58,27,38,123,4.12,6.92,2,3,8
"109",1996,"Zach Thomas","Texas Tech","ILB",71,233,NA,4.85,20,28.5,104,4.24,NA,0,4,8
"110",2015,"Marcus Peters","Washington","CB",71.625,197,13,4.53,17,37.5,121,4.08,7.08,2,3,8
"111",2003,"Asante Samuel","Central Florida","CB",70.9,185,NA,4.52,9,35.5,120,4.09,6.94,2,3,8
"112",1999,"Antoine Winfield","Ohio State","CB",68.6,176,NA,4.41,NA,37,122,3.95,6.84,2,3,8
"113",1997,"Ronde Barber","Virginia","CB",69.4,185,NA,4.68,14,34.5,118,4.46,7.22,0,4,8
"114",1993,"Blaine Bishop","Ball State (IN)","SS",68.6,194,NA,4.61,20,41.5,120,4,NA,4,2,8
"115",1999,"Daunte Culpepper","Central Florida","QB",75.8,255,18,4.52,NA,39,122,4.13,7.21,3,2,7
"116",2018,"Chris Warren","Texas","RB",74,247,NA,4.69,25,33,121,4.18,6.98,3,2,7
"117",2016,"Ezekiel Elliott","Ohio State","RB",71.75,225,NA,4.47,NA,32.5,118,NA,NA,3,2,7
"118",2008,"Ray Rice","Rutgers","RB",68,199,NA,4.46,23,31.5,119,4.2,6.65,3,2,7
"119",2006,"Maurice Jones-Drew","UCLA","RB",66.75,207,NA,4.39,18,36,116,4.38,7.08,3,2,7
"120",2005,"Frank Gore","Miami (FL)","RB",69.375,217,NA,NA,NA,NA,NA,NA,NA,5,1,7
"121",1998,"Ahman Green","Nebraska","RB",71.8,213,NA,4.44,13,38.5,129,NA,NA,3,2,7
"122",1996,"Eddie George","Ohio State","RB",74.6,238,NA,NA,NA,NA,NA,NA,NA,3,2,7
"123",1990,"Chris Warren","Ferrum (VA)","RB",73.8,225,NA,4.61,14,36.5,114,NA,NA,3,2,7
"124",2014,"Mike Evans","Texas A&M","WR",76.75,231,25,4.53,12,37,NA,4.26,7.08,3,2,7
"125",2013,"Keenan Allen","California","WR",74,206,NA,NA,NA,NA,NA,NA,NA,3,2,7
"126",2008,"Jordy Nelson","Kansas State","WR",74.63,217,NA,4.55,NA,31,123,4.35,7.03,1,3,7
"127",2005,"Vincent Jackson","Northern Colorado","WR",76.75,241,NA,4.5,NA,39,NA,NA,NA,3,2,7
"128",1996,"Eric Moulds","Mississippi State","WR",72.9,204,NA,NA,NA,NA,NA,NA,NA,3,2,7
"129",1988,"Rod Smith","Nebraska","WR",71.8,197,NA,NA,9,NA,NA,NA,NA,3,2,7
"130",1987,"Haywood Jeffires","North Carolina State","WR",74.1,191,NA,4.41,NA,NA,NA,NA,NA,3,2,7
"131",1992,"Mark Chmura","Boston College","TE",77,235,NA,5.03,13,30.5,105,4.16,NA,3,2,7
"132",2011,"Rodney Hudson","Florida State","C",74.375,299,NA,5.27,27,25.5,95,4.96,8.03,3,2,7
"133",1995,"Hugh Douglas","Central State (OH)","DE",73.6,265,NA,4.76,27,32,113,4.5,NA,3,2,7
"134",2011,"Jurrell Casey","Southern California","DT",72.625,300,NA,5.04,26,27.5,101,4.78,7.51,5,1,7
"135",2011,"Muhammad Wilkerson","Temple","DT",76.125,315,NA,4.96,27,26,106,4.59,7.31,1,3,7
"136",2006,"Antonio Cromartie","Florida State","CB",74.13,208,NA,4.5,18,38,132,NA,NA,3,2,7
"137",2001,"Adrian Wilson","North Carolina State","SS",74.4,213,NA,4.55,21,39.5,120,NA,NA,5,1,7
"138",2003,"Tony Romo","Eastern Illinois","QB",74,230,30,5.01,NA,30,105,4.2,7.11,4,1,6
"139",1999,"Donovan McNabb","Syracuse","QB",74.3,223,14,4.64,NA,33,116,4.38,7.3,6,0,6
"140",2004,"Michael Turner","Northern Illinois","RB",70.5,237,NA,4.49,22,31,114,4.15,7.5,2,2,6
"141",2003,"Larry Johnson","Penn State","RB",74.4,214,NA,4.55,19,NA,NA,NA,NA,2,2,6
"142",2002,"Brian Westbrook","Villanova","RB",68.4,200,NA,4.59,26,37,118,NA,7.09,2,2,6
"143",2001,"Deuce McAllister","Mississippi","RB",73.1,222,NA,4.41,20,37.5,NA,NA,NA,2,2,6
"144",2005,"Roddy White","Alabama-Birmingham","WR",73.25,207,NA,NA,NA,NA,NA,NA,NA,4,1,6
"145",1991,"Yancey Thigpen","Winston-Salem State (NC)","WR",72.4,207,NA,4.6,NA,38.5,122,4.37,NA,2,2,6
"146",2017,"George Kittle","Iowa","TE",75.75,247,NA,4.52,18,35,132,4.59,NA,2,2,6
"147",2001,"Alge Crumpler","North Carolina","TE",74.5,266,NA,4.79,22,34,112,4.43,7.38,4,1,6
"148",2015,"Danielle Hunter","Louisiana State","DE",77.125,252,NA,4.57,25,NA,NA,NA,NA,2,2,6
"149",2011,"Robert Quinn","North Carolina","DE",76,265,NA,4.62,22,34,116,4.4,7.13,2,2,6
"150",2010,"Everson Griffen","Southern California","DE",75.375,273,NA,4.65,32,NA,NA,NA,NA,4,1,6
"151",2005,"Justin Tuck","Notre Dame","DE",77,268,NA,NA,NA,NA,NA,NA,NA,2,2,6
"152",2001,"Justin Smith","Missouri","DE",76.1,267,NA,4.64,26,34,117,NA,NA,0,3,6
"153",1999,"Patrick Kerney","Virginia","DE",77.6,266,NA,4.72,21,31,111,4.42,7.45,2,2,6
"154",2013,"Kawann Short","Purdue","DT",74.875,299,NA,NA,NA,NA,NA,NA,NA,2,2,6
"155",2011,"Justin Houston","Georgia","OLB",74.875,270,NA,4.62,30,36.5,125,4.37,6.95,2,2,6
"156",2012,"Stephon Gilmore","South Carolina","CB",72.5,190,NA,4.38,15,36,123,3.94,6.61,2,2,6
"157",2006,"Johnathan Joseph","South Carolina","CB",71,193,NA,4.37,15,37,123,4.23,6.92,2,2,6
"158",2011,"Cam Newton","Auburn","QB",77,248,21,4.56,NA,35,126,4.18,6.92,3,1,5
"159",2003,"Carson Palmer","Southern California","QB",77,232,26,4.65,NA,NA,NA,NA,NA,3,1,5
"160",2013,"Le'Veon Bell","Michigan State","RB",73.375,230,NA,4.6,24,31.5,118,4.24,6.75,3,1,5
"161",2011,"DeMarco Murray","Oklahoma","RB",71.625,213,NA,4.37,21,34.5,130,4.18,7.28,3,1,5
"162",2008,"Chris Johnson","East Carolina (NC)","RB",71,197,10,4.3,NA,35,130,NA,NA,3,1,5
"163",2014,"Jarvis Landry","Louisiana State","WR",71.5,205,NA,4.65,12,28.5,110,NA,NA,5,0,5
"164",2010,"Dez Bryant","Oklahoma State","WR",74,225,NA,NA,NA,NA,NA,NA,NA,3,1,5
"165",2003,"Anquan Boldin","Florida State","WR",72.6,216,NA,4.73,NA,33.5,114,4.25,7.35,3,1,5
"166",2001,"Santana Moss","Miami (FL)","WR",69.6,184,NA,4.31,NA,42,NA,NA,NA,1,2,5
"167",1996,"Keyshawn Johnson","Southern California","WR",75.3,220,NA,NA,NA,31.5,125,4.25,NA,3,1,5
"168",1989,"Tony Martin","Colorado Mesa","WR",72.1,174,NA,4.44,NA,39,129,4.22,NA,1,2,5
"169",1988,"Tim Brown","Notre Dame","WR",72,193,NA,4.39,NA,NA,NA,NA,NA,3,1,5
"170",2013,"Zach Ertz","Stanford","TE",77,249,26,4.76,24,30.5,111,4.47,7.08,3,1,5
"171",1997,"Chad Lewis","Brigham Young","TE",77.4,248,NA,4.88,15,31,119,4.47,7.76,3,1,5
"172",2009,"Max Unger","Oregon","C",76.625,309,NA,5.26,22,24.5,93,4.5,7.39,3,1,5
"173",2005,"Cameron Wake","Penn State","OLB",74.75,236,NA,4.65,20,45.5,130,4.13,7.12,1,2,5
"174",2010,"Joe Haden","Florida","CB",70.75,193,NA,4.52,18,35,125,4.34,6.94,3,1,5
"175",2017,"Patrick Mahomes","Texas Tech","QB",74.125,225,24,4.8,NA,30,114,4.08,6.88,2,1,4
"176",2012,"Andrew Luck","Stanford","QB",76,234,37,4.59,NA,36,124,4.28,6.8,4,0,4
"177",2004,"Eli Manning","Mississippi","QB",76.8,221,39,4.9,NA,NA,NA,NA,NA,4,0,4
"178",2001,"Michael Vick","Virginia Tech","QB",72,210,20,4.33,NA,38,NA,NA,NA,4,0,4
"179",1987,"Vinny Testaverde","Miami (FL)","QB",76.3,213,NA,4.75,13,NA,NA,NA,NA,2,1,4
"180",2014,"Devonta Freeman","Florida State","RB",68.25,206,NA,4.58,NA,31.5,116,4.26,7.11,2,1,4
"181",2012,"Doug Martin","Boise State","RB",69.25,223,NA,4.46,28,36,120,4.16,6.79,2,1,4
"182",2012,"Alfred Morris","Florida Atlantic","RB",69.875,219,NA,4.63,16,35.5,117,4.19,7.01,2,1,4
"183",1997,"Corey Dillon","Washington","RB",72.6,217,NA,NA,NA,NA,NA,NA,NA,4,0,4
"184",1993,"Robert Smith","Ohio State","RB",72.3,195,NA,4.47,16,39,134,4.03,NA,2,1,4
"185",2015,"Amari Cooper","Alabama","WR",72.875,211,21,4.42,NA,33,120,3.98,6.71,4,0,4
"186",2012,"T.Y. Hilton","Florida International","WR",69.5,183,NA,4.37,NA,NA,NA,NA,NA,4,0,4
"187",2010,"Emmanuel Sanders","Southern Methodist (TX)","WR",70.875,186,NA,4.4,12,39.5,126,4.1,6.64,2,1,4
"188",2005,"Mark Clayton","Oklahoma","WR",70.375,193,NA,4.43,NA,36.5,117,4.07,6.95,2,1,4
"189",1998,"Hines Ward","Georgia","WR",71.6,195,NA,NA,NA,30.5,110,4.09,7.09,0,2,4
"190",1997,"Derrick Mason","Michigan State","WR",70.8,193,NA,4.55,NA,32,113,4.46,7.33,2,1,4
"191",2006,"Vernon Davis","Maryland","TE",75.25,254,NA,4.39,33,42,128,4.17,7,2,1,4
"192",2004,"Kellen Winslow","Miami (FL)","TE",75.9,251,NA,4.62,24,NA,120,NA,NA,2,1,4
"193",2001,"Todd Heap","Arizona State","TE",76.6,252,NA,4.68,22,32,NA,NA,NA,2,1,4
"194",1990,"Eric Green","Liberty (VA)","TE",76.5,274,NA,4.84,12,NA,NA,NA,NA,2,1,4
"195",1989,"Marv Cook","Iowa","TE",75.6,236,NA,4.86,18,29,103,4.2,NA,2,1,4
"196",1988,"Ferrell Edmunds","Maryland","TE",78,241,NA,NA,18,NA,NA,NA,NA,2,1,4
"197",2011,"Tyron Smith","Southern California","OT",77,307,NA,5.08,29,NA,NA,NA,NA,0,2,4
"198",1998,"Jeremy Newberry","California","C",76.9,314,NA,5.44,27,27.5,99,4.77,8.34,2,1,4
"199",2016,"Joey Bosa","Ohio State","DE",77.25,269,NA,4.86,24,32,120,4.21,6.89,2,1,4
"200",2010,"Jason Pierre-Paul","South Florida","DE",76.75,270,NA,4.71,19,30.5,115,4.67,7.18,2,1,4
"201",2004,"Jason Babin","Western Michigan","DE",74.6,260,NA,4.65,28,34,121,4.14,7.03,2,1,4
"202",2001,"Derrick Burgess","Mississippi","DE",74.4,264,NA,4.9,24,40,125,NA,7.85,2,1,4
"203",2001,"Aaron Schobel","Texas Christian","DE",75.6,263,NA,4.75,NA,38,119,4.03,7.16,2,1,4
"204",1995,"Kevin Carter","Florida","DE",77.6,274,NA,NA,NA,NA,NA,NA,NA,2,1,4
"205",2011,"Marcell Dareus","Alabama","DT",75.125,319,NA,4.93,24,27,NA,4.62,7.83,2,1,4
"206",2004,"Darnell Dockett","Florida State","DT",75.4,297,NA,5,26,31,105,NA,NA,2,1,4
"207",2001,"Kris Jenkins","Maryland","DT",76.9,318,NA,5.18,33,31,108,4.4,7.85,0,2,4
"208",1994,"Bryant Young","Notre Dame","DT",74.8,276,NA,4.96,25,28,109,4.4,NA,0,2,4
"209",2006,"Chad Greenway","Iowa","OLB",74.5,242,NA,4.8,16,33.5,117,4.22,7,2,1,4
"210",2004,"Daryl Smith","Georgia Tech","OLB",73.6,234,NA,4.67,24,NA,NA,NA,NA,0,2,4
"211",2008,"Jerod Mayo","Tennessee","ILB",73.25,242,NA,4.59,NA,32,114,4.29,7.31,2,1,4
"212",1988,"Chris Spielman","Ohio State","ILB",72,234,NA,4.9,23,32.5,109,4.13,NA,0,2,4
"213",2013,"Xavier Rhodes","Florida State","CB",73.5,210,NA,4.43,14,40.5,132,NA,NA,2,1,4
"214",2009,"Vontae Davis","Illinois","CB",71.125,203,NA,4.4,25,36,125,4.07,6.75,2,1,4
"215",2008,"Dominique Rodgers-Cromartie","Tennessee State","CB",73.5,184,NA,4.36,17,38.5,131,4.17,6.74,2,1,4
"216",2006,"Cortland Finnegan","Samford (AL)","CB",69.875,188,NA,NA,NA,NA,NA,NA,NA,0,2,4
"217",2006,"Tim Jennings","Georgia","CB",67.75,185,NA,4.38,17,37.5,117,NA,NA,2,1,4
"218",2003,"Charles Tillman","Louisiana-Lafayette","CB",73,207,NA,4.49,12,40,131,3.89,7.05,2,1,4
"219",1991,"Eric Turner","UCLA","FS",72.9,206,NA,4.51,20,36.5,124,4.37,NA,2,1,4
"220",2010,"Reshad Jones","Georgia","SS",73.25,214,NA,4.51,24,39.5,118,4.54,7.43,2,1,4
"221",2018,"Lamar Jackson","Louisville","QB",74.25,216,NA,NA,NA,NA,NA,NA,NA,1,1,3
"222",2016,"Carson Wentz","North Dakota State","QB",77.25,237,29,4.77,NA,30.5,118,4.15,6.86,1,1,3
"223",2014,"Derek Carr","Frenso State (CA)","QB",74.375,214,20,4.69,NA,34.5,110,4.2,NA,3,0,3
"224",2011,"Andy Dalton","Texas Christian","QB",74,215,29,4.83,NA,29.5,106,4.27,6.93,3,0,3
"225",2005,"Alex Smith","Utah","QB",76.125,217,40,4.78,NA,32,113,3.96,6.82,3,0,3
"226",1993,"Mark Brunell","Washington","QB",73,206,NA,4.7,NA,30.5,112,4.19,NA,3,0,3
"227",1987,"Jim Harbaugh","Michigan","QB",74.3,203,NA,NA,NA,NA,NA,NA,NA,1,1,3
"228",1987,"Don Majkowski","Virginia","QB",73.5,199,NA,4.83,NA,34,116,4.13,NA,1,1,3
"229",2018,"Saquon Barkley","Penn State","RB",72,233,NA,4.4,29,41,NA,4.24,NA,1,1,3
"230",2018,"Nick Chubb","Georgia","RB",70.875,227,NA,4.52,29,38.5,128,4.25,7.09,1,1,3
"231",2017,"Dalvin Cook","Florida State","RB",71.125,210,NA,4.49,22,30.5,116,4.53,7.27,1,1,3
"232",2017,"Alvin Kamara","Tennessee","RB",69.75,214,24,4.56,15,39.5,131,4.56,NA,3,0,3
"233",2015,"Jay Ajayi","Boise State","RB",71.75,221,24,4.57,19,39,121,4.1,7.1,1,1,3
"234",2013,"Eddie Lacy","Alabama","RB",71,220,17,4.55,NA,NA,NA,NA,NA,1,1,3
"235",2011,"Mark Ingram","Alabama","RB",69.125,215,NA,4.62,21,31.5,113,4.62,7.13,3,0,3
"236",2010,"C.J. Spiller","Clemson","RB",70.625,196,10,4.27,18,NA,NA,NA,NA,1,1,3
"237",2008,"Jonathan Stewart","Oregon","RB",70.25,235,NA,4.48,28,36.5,128,4.53,7.44,1,1,3
"238",2006,"Leon Washington","Florida State","RB",67.88,201,NA,4.49,17,32.5,105,4.37,6.94,1,1,3
"239",2006,"DeAngelo Williams","Memphis","RB",69,214,NA,4.49,25,35.5,121,NA,NA,1,1,3
"240",2002,"Ricky Williams","Texas Tech","RB",67.3,190,NA,4.48,19,32.5,108,NA,NA,1,1,3
"241",1999,"Ricky Williams","Texas","RB",70.8,244,NA,4.56,NA,37,124,NA,NA,1,1,3
