"","Draft Year","Team","Draft Round","Pick Number","PlayerID","Games","Avg Value","AV16","Name","Position","College","Height","Weight","Wonderlic","40 YD","Bench","Vert","Broad","Shuttle","3Cone","Pro Bowls","All Pros"
"37",2016,"PHI",1,2,"WentCa00",56,45,12.8571428571429,"Carson Wentz","QB","North Dakota State",77.25,237,29,4.77,NA,30.5,118,4.15,6.86,1,1
"38",2002,"JAX",4,108,"GarrDa00",86,69,12.8372093023256,"David Garrard","QB","East Carolina (NC)",73.9,235,14,4.83,NA,33.5,110,4.26,7.35,1,NA
"39",2016,"LAR",1,1,"GoffJa00",54,43,12.7407407407407,"Jared Goff","QB","California",76,215,36,4.82,NA,27,110,4.47,7.17,2,NA
"40",2018,"NYG",1,2,"BarkSa00",29,23,12.6896551724138,"Saquon Barkley","RB","Penn State",72,233,NA,4.4,29,41,NA,4.24,NA,1,1
"41",2009,"DET",1,1,"StafMa00",149,118,12.6711409395973,"Matthew Stafford","QB","Georgia",74.25,225,38,4.81,NA,30.5,107,4.47,7.06,1,NA
"42",2001,"ATL",1,1,"VickMi00",143,113,12.6433566433566,"Michael Vick","QB","Virginia Tech",72,210,20,4.33,NA,38,NA,NA,NA,4,NA
"43",2014,"DAL",1,16,"MartZa00",94,74,12.5957446808511,"Zack Martin","OL","Notre Dame",76.25,308,NA,5.22,29,28,104,4.59,7.65,NA,NA
"44",2002,"BAL",1,24,"ReedEd00",174,136,12.5057471264368,"Ed Reed","DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2003,"CIN",1,1,"PalmCa00",182,142,12.4835164835165,"Carson Palmer","QB","Southern California",77,232,26,4.65,NA,NA,NA,NA,NA,3,1
"46",2010,"PIT",6,195,"BrowAn04",131,102,12.4580152671756,"Antonio Brown","WR","Central Michigan",70.125,186,NA,4.56,13,33.5,105,4.18,6.98,6,5
"47",2006,"NO",4,108,"EvanJa21",183,142,12.4153005464481,"Jahri Evans","OL","Texas A&M",76.5,316,NA,5.29,20,27,95,4.8,7.97,NA,NA
"48",2013,"GB",4,109,"BakhDa00",106,82,12.377358490566,"David Bakhtiari","OL","Colorado",76.25,299,NA,5.18,28,25.5,101,4.74,7.7,NA,NA
"49",2011,"SEA",5,154,"SherRi00",134,103,12.2985074626866,"Richard Sherman","DB","Stanford",74.625,195,NA,4.54,16,38,125,4.33,6.82,3,5
"50",2015,"TEN",1,2,"MariMa01",63,48,12.1904761904762,"Marcus Mariota","QB","Oregon",75.75,222,NA,4.52,NA,36,121,4.11,6.87,NA,NA
"51",2008,"BAL",2,55,"RiceRa00",92,70,12.1739130434783,"Ray Rice","RB","Rutgers",68,199,NA,4.46,23,31.5,119,4.2,6.65,3,2
"52",2010,"SF",3,91,"BowmNa99",99,75,12.1212121212121,"NaVorro Bowman","LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2012,"WAS",4,102,"CousKi00",93,69,11.8709677419355,"Kirk Cousins","QB","Michigan State",74.625,214,33,4.84,NA,28.5,109,4.5,7.05,2,NA
"54",2018,"BUF",1,16,"EdmuTr01",31,23,11.8709677419355,"Tremaine Edmunds","LB","Virginia Tech",76.5,253,NA,4.54,19,NA,117,NA,NA,NA,NA
"55",2007,"MIN",1,7,"PeteAd01",164,121,11.8048780487805,"Adrian Peterson","RB","Oklahoma",73.5,217,16,4.41,NA,38.5,127,4.4,7.09,7,7
"57",2011,"CIN",2,35,"DaltAn00",133,98,11.7894736842105,"Andy Dalton","QB","Texas Christian",74,215,29,4.83,NA,29.5,106,4.27,6.93,3,NA
"58",2001,"IND",1,30,"WaynRe00",211,155,11.7535545023697,"Reggie Wayne","WR","Miami (FL)",72,198,NA,4.45,NA,36,NA,NA,NA,6,4
"59",2007,"NYJ",1,14,"ReviDa99",145,106,11.6965517241379,"Darrelle Revis","DB","Pittsburgh",71.5,204,NA,NA,16,NA,NA,NA,NA,6,5
"60",2012,"WAS",1,2,"GrifRo01",52,38,11.6923076923077,"Robert Griffin","QB","Baylor",74.375,223,24,4.33,NA,39,120,NA,NA,1,NA
"61",2003,"PIT",1,16,"PolaTr99",158,115,11.6455696202532,"Troy Polamalu","DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2015,"KC",1,18,"PeteMa00",77,56,11.6363636363636,"Marcus Peters","DB","Washington",71.625,197,13,4.53,17,37.5,121,4.08,7.08,2,3
"63",2015,"STL",1,10,"GurlTo01",73,53,11.6164383561644,"Todd Gurley","RB","Georgia",72.625,222,12,4.52,17,NA,NA,NA,NA,3,3
"64",2002,"DEN",2,51,"PortCl00",113,82,11.6106194690265,"Clinton Portis","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2011,"ARI",1,5,"PetePa00",138,100,11.5942028985507,"Patrick Peterson","DB","Louisiana State",72.25,219,NA,4.31,15,38,126,4.07,6.58,6,3
"66",2011,"CIN",1,4,"GreeA.00",111,80,11.5315315315315,"A.J. Green","WR","Georgia",75.625,211,10,4.48,18,34.5,126,4.21,6.91,7,3
"67",2012,"MIA",1,8,"TannRy00",100,72,11.52,"Ryan Tannehill","QB","Texas A&M",75.875,221,34,4.65,NA,NA,NA,NA,NA,1,NA
"68",2014,"NYG",1,12,"BeckOd00",75,54,11.52,"Odell Beckham","WR","Louisiana State",71.25,198,NA,4.43,7,38.5,122,3.94,6.69,3,3
"69",2005,"DAL",1,11,"WareDe99",178,128,11.5056179775281,"DeMarcus Ware","LB","Troy (AL)",76,251,NA,4.6,27,38.5,122,4.07,6.83,5,7
"70",2018,"MIA",1,11,"FitzMi00",32,23,11.5,"Minkah Fitzpatrick","DB","Alabama",72.125,204,NA,4.46,14,33,121,NA,NA,NA,NA
"71",2006,"BAL",1,12,"NgatHa20",180,129,11.4666666666667,"Haloti Ngata","DL","Oregon",76.125,338,NA,5.18,37,31.5,110,4.65,7.95,5,5
"72",2019,"JAX",6,178,"MinsGa00",14,10,11.4285714285714,"Gardner Minshew","QB","Washington State",72.875,225,NA,4.97,NA,33.5,116,4.45,7.14,NA,NA
"73",2010,"NE",2,42,"GronRo00",115,82,11.4086956521739,"Rob Gronkowski","TE","Arizona",78.25,258,NA,4.68,23,NA,NA,NA,NA,5,5
"74",2006,"DEN",1,11,"CutlJa00",153,109,11.3986928104575,"Jay Cutler","QB","Vanderbilt",75.25,226,26,4.81,23,NA,NA,4.26,7.1,1,NA
"75",2003,"CHI",3,68,"BrigLa99",173,123,11.3757225433526,"Lance Briggs","LB","Arizona",72.6,242,NA,4.78,25,33,113,NA,NA,NA,NA
"76",2005,"SF",1,1,"SmitAl03",166,118,11.3734939759036,"Alex Smith","QB","Utah",76.125,217,40,4.78,NA,32,113,3.96,6.82,3,NA
"77",2011,"SF",2,36,"KaepCo00",69,49,11.3623188405797,"Colin Kaepernick","QB","Nevada",76.625,233,NA,4.53,NA,32.5,115,4.18,6.85,NA,NA
"78",2011,"DAL",1,9,"SmitTy00",131,93,11.3587786259542,"Tyron Smith","OL","Southern California",77,307,NA,5.08,29,NA,NA,NA,NA,NA,2
"79",2011,"DAL",3,71,"MurrDe00",99,70,11.3131313131313,"DeMarco Murray","RB","Oklahoma",71.625,213,NA,4.37,21,34.5,130,4.18,7.28,3,1
"80",2001,"SEA",1,17,"HutcSt00",169,119,11.2662721893491,"Steve Hutchinson","OL","Michigan",77.1,315,NA,5.14,31,33.5,106,4.74,7.82,NA,NA
"81",2012,"PHI",1,12,"CoxxFl00",125,88,11.264,"Fletcher Cox","DL","Mississippi State",76,298,NA,4.77,30,26,103,4.53,7.07,5,3
"82",2001,"NE",2,48,"LighMa20",155,109,11.2516129032258,"Matt Light","OL","Purdue",76.8,311,NA,5.3,26,NA,NA,4.49,7.84,NA,NA
"83",2018,"CLE",1,1,"MayfBa00",30,21,11.2,"Baker Mayfield","QB","Oklahoma",72.625,215,NA,4.84,NA,29,111,4.28,7,NA,NA
"84",2004,"SD",1,1,"MannEl00",236,165,11.1864406779661,"Eli Manning","QB","Mississippi",76.8,221,39,4.9,NA,NA,NA,NA,NA,4,NA
"85",2000,"NYJ",1,18,"PennCh01",89,62,11.1460674157303,"Chad Pennington","QB","Marshall (WV)",75.4,229,25,4.85,NA,33.5,111,4.16,7.12,NA,NA
"86",2001,"CAR",2,44,"JenkKr00",108,75,11.1111111111111,"Kris Jenkins","DL","Maryland",76.9,318,NA,5.18,33,31,108,4.4,7.85,NA,2
"87",2006,"IND",1,30,"AddaJo00",78,54,11.0769230769231,"Joseph Addai","RB","Louisiana State",71.25,214,NA,4.43,18,37,125,4.47,7.09,1,NA
"88",2019,"NYG",1,6,"JoneDa05",13,9,11.0769230769231,"Daniel Jones","QB","Duke",77.125,221,NA,4.81,NA,33.5,120,4.41,7,NA,NA
"89",2008,"BAL",1,18,"FlacJo00",171,118,11.0409356725146,"Joe Flacco","QB","Delaware",78.38,236,27,4.86,NA,28.5,110,4.27,6.82,NA,NA
"90",2001,"NE",1,6,"SeymRi00",164,113,11.0243902439024,"Richard Seymour","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",2007,"DET",1,2,"JohnCa00",135,93,11.0222222222222,"Calvin Johnson","WR","Georgia Tech",77,239,NA,4.38,NA,NA,NA,NA,NA,6,4
"92",2002,"CAR",1,2,"PeppJu99",266,183,11.0075187969925,"Julius Peppers","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2013,"KC",3,63,"KelcTr00",96,66,11,"Travis Kelce","TE","Cincinnati",76.875,257,22,4.63,NA,NA,NA,NA,NA,5,4
"94",2019,"SF",1,2,"BosaNi00",16,11,11,"Nick Bosa","DL","Ohio State",75.75,266,NA,4.79,29,33.5,116,4.14,7.1,1,NA
"95",2012,"NE",1,25,"HighDo01",102,70,10.9803921568627,"Dont'a Hightower","LB","Alabama",74.25,265,NA,4.62,NA,32,NA,NA,NA,NA,NA
"96",2017,"CHI",1,2,"TrubMi00",41,28,10.9268292682927,"Mitch Trubisky","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",2008,"DEN",1,12,"CladRy20",107,73,10.9158878504673,"Ryan Clady","OL","Boise State",78.125,309,NA,NA,24,NA,NA,NA,NA,NA,NA
"98",2017,"PIT",1,30,"WattT.00",47,32,10.8936170212766,"T.J. Watt","LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",2004,"IND",2,44,"SandBo99",50,34,10.88,"Bob Sanders","DB","Iowa",68.4,204,NA,4.4,15,41.5,128,3.91,6.7,1,NA
"100",2010,"CIN",4,120,"AtkiGe99",153,104,10.8758169934641,"Geno Atkins","DL","Georgia",73.375,293,NA,4.75,34,33,117,4.43,7.33,6,5
"101",2008,"CHI",2,44,"FortMa00",146,99,10.8493150684932,"Matt Forte","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",2008,"ARI",2,50,"CampCa99",186,125,10.752688172043,"Calais Campbell","DL","Miami (FL)",79.75,290,NA,5.11,16,29.5,111,4.69,7.45,4,4
"103",2010,"DET",1,2,"SuhxNd99",158,106,10.7341772151899,"Ndamukong Suh","DL","Nebraska",75.875,307,NA,5.03,32,35.5,105,4.44,7.21,5,7
"104",2009,"NE",2,58,"VollSe20",88,59,10.7272727272727,"Sebastian Vollmer","OL","Houston",79.625,312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",2004,"KC",4,126,"AlleJa22",187,125,10.6951871657754,"Jared Allen","DL","Idaho State",78,265,NA,4.76,13,33,120,4.34,7.11,5,4
"106",2000,"NO",6,168,"BulgMa00",96,64,10.6666666666667,"Marc Bulger","QB","West Virginia",73.6,208,29,4.96,NA,NA,100,4.34,7.46,2,NA
"107",2006,"JAX",2,60,"DrewMa00",126,84,10.6666666666667,"Maurice Jones-Drew","RB","UCLA",66.75,207,NA,4.39,18,36,116,4.38,7.08,3,2
"108",2009,"DAL",4,101,"McGeSt00",3,2,10.6666666666667,"Stephen McGee","QB","Texas A&M",74.88,225,NA,4.61,NA,33,112,4.49,7.34,NA,NA
"109",2011,"NYJ",1,30,"WilkMu00",108,72,10.6666666666667,"Muhammad Wilkerson","DL","Temple",76.125,315,NA,4.96,27,26,106,4.59,7.31,1,3
"110",2016,"SD",1,3,"BosaJo00",51,34,10.6666666666667,"Joey Bosa","DL","Ohio State",77.25,269,NA,4.86,24,32,120,4.21,6.89,2,1
"111",2016,"JAX",1,5,"RamsJa00",60,40,10.6666666666667,"Jalen Ramsey","DB","Florida State",73.25,209,NA,4.41,14,41.5,135,4.18,6.94,NA,NA
"112",2016,"JAX",6,201,"AlleBr00",3,2,10.6666666666667,"Brandon Allen","QB","Arkansas",73.375,217,NA,4.84,NA,28,110,4.33,7.06,NA,NA
"113",2017,"SEA",7,249,"CarsCh00",33,22,10.6666666666667,"Chris Carson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2015,"NO",1,13,"PeatAn00",65,43,10.5846153846154,"Andrus Peat","OL","Stanford",78.875,313,NA,5.18,NA,31,105,4.62,8.01,NA,NA
"115",2009,"TB",1,17,"FreeJo00",62,41,10.5806451612903,"Josh Freeman","QB","Kansas State",77.75,248,27,4.9,NA,33.5,119,4.43,7.11,NA,NA
"116",2002,"PHI",3,91,"WestBr00",121,80,10.5785123966942,"Brian Westbrook","RB","Villanova",68.4,200,NA,4.59,26,37,118,NA,7.09,2,2
"117",2003,"KC",1,27,"JohnLa00",85,56,10.5411764705882,"Larry Johnson","RB","Penn State",74.4,214,NA,4.55,19,NA,NA,NA,NA,2,2
"118",2010,"SEA",1,14,"ThomEa99",140,92,10.5142857142857,"Earl Thomas","DB","Texas",70.25,202,NA,4.43,21,NA,113,NA,NA,NA,NA
"119",2012,"CLE",2,37,"SchwMi00",128,84,10.5,"Mitchell Schwartz","OL","California",77.375,318,NA,5.38,23,26.5,89,4.87,7.86,NA,NA
"120",2007,"CAR",1,25,"BeasJo99",93,61,10.494623655914,"Jon Beason","LB","Miami (FL)",72.25,237,NA,4.76,19,NA,111,NA,NA,1,NA
"121",2003,"NE",5,164,"KoppDa20",136,89,10.4705882352941,"Dan Koppen","OL","Boston College",74.6,297,NA,5.31,27,28.5,101,4.46,8.24,1,1
"122",2009,"GB",1,26,"MattCl99",156,102,10.4615384615385,"Clay Matthews","LB","Southern California",75.125,240,27,4.62,23,35.5,121,4.18,6.9,5,3
"123",2013,"NO",3,75,"ArmsTe00",75,49,10.4533333333333,"Terron Armstead","OL","Arkansas-Pine Bluff",76.75,306,27,4.71,31,34.5,112,4.72,7.62,NA,NA
"124",2012,"IND",3,92,"HiltT.00",118,77,10.4406779661017,"T.Y. Hilton","WR","Florida International",69.5,183,NA,4.37,NA,NA,NA,NA,NA,4,NA
"125",2017,"CHI",4,112,"JackEd01",46,30,10.4347826086957,"Eddie Jackson","DB","Alabama",72,201,NA,NA,10,NA,NA,4.2,NA,1,NA
"126",2013,"SD",3,76,"AlleKe00",86,56,10.4186046511628,"Keenan Allen","WR","California",74,206,NA,NA,NA,NA,NA,NA,NA,3,2
"127",2009,"PHI",2,53,"McCoLe01",160,104,10.4,"LeSean McCoy","RB","Pittsburgh",70.375,198,NA,NA,NA,NA,NA,NA,NA,6,2
"128",2010,"WAS",1,4,"WillTr21",120,78,10.4,"Trent Williams","OL","Oklahoma",76.625,315,NA,4.81,23,34.5,113,4.63,7.64,NA,1
"129",2014,"OAK",2,36,"CarrDe02",94,61,10.3829787234043,"Derek Carr","QB","Frenso State (CA)",74.375,214,20,4.69,NA,34.5,110,4.2,NA,3,NA
"130",2003,"HOU",1,3,"JohnAn02",193,125,10.3626943005181,"Andre Johnson","WR","Miami (FL)",74,230,NA,4.4,NA,39,132,NA,NA,7,6
"131",2005,"NO",1,13,"BrowJa55",85,55,10.3529411764706,"Jammal Brown","OL","Oklahoma",77.875,316,NA,5.09,NA,31.5,109,4.67,7.93,NA,NA
"132",2012,"NE",1,21,"JoneCh03",119,77,10.3529411764706,"Chandler Jones","DL","Syracuse",77.375,266,NA,4.77,22,35,120,4.38,7.07,1,1
"133",2006,"CIN",2,55,"WhitAn20",215,139,10.3441860465116,"Andrew Whitworth","OL","Louisiana State",79,334,NA,5.17,28,30.5,112,4.83,8.23,NA,1
"134",2006,"SD",2,50,"McNeMa20",82,53,10.3414634146341,"Marcus McNeill","OL","Auburn",79.625,336,NA,5.09,NA,31,98,5,8.19,NA,NA
"135",2013,"NE",2,52,"CollJa00",96,62,10.3333333333333,"Jamie Collins","LB","Southern Mississippi",75.5,250,17,4.64,19,41.5,139,4.32,7.1,NA,1
"136",2010,"ARI",2,47,"WashDa99",59,38,10.3050847457627,"Daryl Washington","LB","Texas Christian",73.75,230,NA,4.58,17,31,114,NA,NA,NA,NA
"137",2000,"SEA",1,19,"AlexSh00",123,79,10.2764227642276,"Shaun Alexander","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",2009,"MIN",1,22,"HarvPe00",75,48,10.24,"Percy Harvin","WR","Florida",71.125,192,12,4.39,19,NA,NA,NA,NA,NA,1
"139",2018,"DAL",1,19,"VandLe00",25,16,10.24,"Leighton Vander Esch","LB","Boise State",76.25,256,NA,4.65,20,39.5,124,4.15,6.88,NA,NA
"140",2011,"NO",1,24,"JordCa00",144,92,10.2222222222222,"Cameron Jordan","DL","California",76.125,287,NA,4.74,25,31,117,4.37,7.07,5,4
"141",2008,"TEN",1,24,"JohnCh04",130,83,10.2153846153846,"Chris Johnson","RB","East Carolina (NC)",71,197,10,4.3,NA,35,130,NA,NA,3,1
"142",2004,"NYG",2,34,"SneeCh20",141,90,10.2127659574468,"Chris Snee","OL","Boston College",74.8,314,NA,5.1,29,30.5,104,4.66,7.75,NA,NA
"143",2017,"BUF",1,27,"WhitTr01",47,30,10.2127659574468,"TreDavious White","DB","Louisiana State",71.25,192,NA,4.47,16,32,117,4.32,6.9,NA,NA
"144",2009,"SD",3,78,"VasqLo20",102,65,10.1960784313725,"Louis Vasquez","OL","Texas Tech",76.75,333,NA,5.22,39,NA,NA,NA,NA,NA,NA
"145",2014,"NO",1,20,"CookBr00",88,56,10.1818181818182,"Brandin Cooks","WR","Oregon State",69.75,189,NA,4.33,16,36,120,3.81,6.76,NA,NA
"146",2014,"MIN",1,32,"BridTe00",44,28,10.1818181818182,"Teddy Bridgewater","QB","Louisville",74.125,214,20,NA,NA,30,112,4.2,7.17,1,NA
"147",2013,"DAL",1,31,"FredTr00",96,61,10.1666666666667,"Travis Frederick","OL","Wisconsin",75.625,312,NA,5.58,21,28.5,97,4.76,7.81,5,4
"148",2003,"BAL",1,10,"SuggTe99",244,155,10.1639344262295,"Terrell Suggs","LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",2004,"PHI",1,16,"AndrSh55",63,40,10.1587301587302,"Shawn Andrews","OL","Arkansas",76.1,366,NA,5.49,27,25,98,4.85,8.25,NA,NA
"150",2007,"CLE",1,3,"ThomJo28",167,106,10.1556886227545,"Joe Thomas","OL","Wisconsin",78.63,311,NA,4.94,28,33,110,4.88,7.95,NA,1
"152",2001,"CAR",3,74,"SmitSt01",219,139,10.1552511415525,"Steve Smith","WR","Utah",69,184,NA,4.44,NA,38.5,121,4.25,7.44,6,4
"153",2000,"BAL",1,5,"LewiJa00",131,83,10.1374045801527,"Jamal Lewis","RB","Tennessee",71.8,240,NA,4.58,23,NA,NA,NA,NA,NA,NA
"154",2013,"GB",2,61,"LacyEd00",60,38,10.1333333333333,"Eddie Lacy","RB","Alabama",71,220,17,4.55,NA,NA,NA,NA,NA,1,1
"155",2007,"BAL",3,86,"YandMa20",177,112,10.1242937853107,"Marshal Yanda","OL","Florida State",75.875,307,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",2014,"JAX",5,144,"SmitTe01",76,48,10.1052631578947,"Telvin Smith","LB","Florida State",75,218,NA,4.52,NA,31.5,117,NA,NA,NA,NA
"157",2016,"TEN",1,8,"ConkJa00",57,36,10.1052631578947,"Jack Conklin","OL","Michigan State",77.75,308,NA,5,25,30,103,4.57,7.63,NA,NA
"158",2016,"NE",3,91,"BrisJa00",38,24,10.1052631578947,"Jacoby Brissett","QB","North Carolina State",75.75,231,NA,4.94,NA,31,113,4.53,7.17,NA,NA
"159",2005,"SEA",2,45,"TatuLo99",84,53,10.0952380952381,"Lofa Tatupu","LB","Southern California",71.875,238,NA,4.84,23,35,113,4.16,7.31,NA,1
"160",2017,"NYJ",1,6,"AdamJa00",46,29,10.0869565217391,"Jamal Adams","DB","Louisiana State",71.625,214,11,4.56,18,31.5,120,4.13,6.96,1,NA
"161",2001,"NO",1,23,"McAlDe00",97,61,10.0618556701031,"Deuce McAllister","RB","Mississippi",73.1,222,NA,4.41,20,37.5,NA,NA,NA,2,2
"162",2015,"MIN",5,146,"DiggSt00",70,44,10.0571428571429,"Stefon Diggs","WR","Maryland",72,195,NA,4.46,NA,35,115,4.32,7.03,NA,NA
"163",2010,"DAL",1,24,"BryaDe01",113,71,10.0530973451327,"Dez Bryant","WR","Oklahoma State",74,225,NA,NA,NA,NA,NA,NA,NA,3,1
"164",2011,"KC",3,70,"HousJu00",118,74,10.0338983050847,"Justin Houston","LB","Georgia",74.875,270,NA,4.62,30,36.5,125,4.37,6.95,2,2
