"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"163","Brian Young","DL","Texas-El Paso",2000,"STL",5,139,"YounBr20",123,47,6.11382113821138,74.4,278,NA,4.96,27,29.5,106,4.47,7.2,NA,NA
"164","Antonio Smith","DL","Oklahoma State",2004,"ARI",5,135,"SmitAn22",186,71,6.10752688172043,75.4,274,NA,5.05,24,33,108,4.75,NA,1,NA
"165","Timmy Jernigan","DL","Florida State",2014,"BAL",2,48,"JernTi00",71,27,6.08450704225352,73.625,299,NA,5.06,27,29.5,101,4.83,NA,NA,NA
"166","Vita Vea","DL","Washington",2018,"TB",1,12,"VeaxVi00",29,11,6.06896551724138,76,347,NA,5.1,41,NA,NA,NA,NA,NA,NA
"167","Larry Ogunjobi","DL","North Carolina Charlotte",2017,"CLE",3,65,"OgunLa00",45,17,6.04444444444444,74.625,305,NA,4.97,26,32,116,4.72,7.55,NA,NA
"168","Cory Redding","DL","Texas",2003,"DET",3,66,"ReddCo20",188,71,6.04255319148936,76,279,NA,4.88,24,NA,NA,NA,NA,NA,NA
"169","Brandon Graham","DL",NA,2010,"PHI",1,13,"GrahBr99",143,54,6.04195804195804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Johnny Jolly","DL","Texas A&M",2006,"GB",6,183,"JollJo20",61,23,6.0327868852459,75.25,317,NA,5.46,NA,NA,104,NA,NA,NA,NA
"171","Brodrick Bunkley","DL","Florida State",2006,"PHI",1,14,"BunkBr20",130,49,6.03076923076923,74.75,306,NA,4.96,44,32.5,113,NA,NA,NA,1
"172","Da'Shawn Hand","DL",NA,2018,"DET",4,114,"HandDa00",16,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Ed Oliver","DL","Houston",2019,"BUF",1,9,"OlivEd00",16,6,6,73.875,287,NA,NA,32,36,120,NA,NA,NA,NA
"174","Maxx Crosby","DL",NA,2019,"OAK",4,106,"CrosMa00",16,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Melvin Oliver","DL","Louisiana State",2006,"SF",6,197,"OlivMe20",16,6,6,74.75,276,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Montez Sweat","DL",NA,2019,"WAS",1,26,"SweaMo00",16,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Sebastian Joseph","DL","Rutgers",2018,"LAR",6,195,"JoseSe00",16,6,6,75,299,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Tyrone Crawford","DL","Boise State",2012,"DAL",3,81,"CrawTy00",96,36,6,76.25,275,NA,4.82,28,33,113,4.44,7.09,NA,NA
"179","Igor Olshansky","DL","Oregon",2004,"SD",2,35,"OlshIg20",115,43,5.98260869565217,77.3,315,NA,5.01,41,33.5,110,4.41,7.61,NA,NA
"180","Derek Barnett","DL","Tennessee",2017,"PHI",1,14,"BarnDe01",35,13,5.94285714285714,74.625,259,NA,4.88,NA,31,117,4.44,6.96,NA,NA
